TrackPos,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3
0,0.08908727002558017,,0.9109127299744193
1,0.04417182492805867,,0.9558281750719398
2,0.035890799773957316,,0.9641092002260431
3,0.038030467959734734,,0.9619695320402654
4,0.03132002158269578,0.20812175377636666,0.7605582246409374
5,0.032700092546358,0.21588918927987338,0.7514107181737687
6,0.033618024906643916,0.2230890657636433,0.7432929093297128
7,0.034292257925849966,0.22999135676528346,0.7357163853088668
8,0.03471390112596871,0.23764712658365225,0.7276389722903799
9,0.035832712712919934,0.2456099483940342,0.7185573388930462
10,0.03635647469458499,0.2535082424419508,0.710135282863464
11,0.03835690262586812,0.260576636049807,0.7010664613243243
12,0.0420920329214912,0.2650355153919449,0.6928724516865645
13,0.05100990430003701,0.26392262035359837,0.6850674753463653
14,0.0696235359109804,0.25612534715771307,0.6742511169313066
15,0.0974437125846484,0.24401270373674075,0.6585435836786105
16,0.13032897452069864,0.23232894993047015,0.637342075548831
17,0.16691731379485344,0.22135237910280076,0.6117303071023459
18,0.20082818291609494,0.2158066909803786,0.5833651261035265
19,0.22901625949034154,0.2137049045471213,0.5572788359625376
20,0.23171059384324388,0.22482888120014677,0.5434605249566092
21,0.23452689912436525,0.2286240693339221,0.5368490315417127
22,0.19658542891740505,0.2881176404404158,0.5152969306421792
23,,,
24,,,
25,,,
26,,,
