Expert names,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3,ME weighting
LSTM_1024_16,0.034193739801216434,0.0008393173552177563,0.018617415813677495,0.018914107699154428
MLP_16_16_16,0.0008393173552177563,0.18287792595355779,0.025179520656532686,0.02900307749696913
KF_CA_sw18E3,0.018617415813677495,0.025179520656532686,0.07573060376798695,0.06401127429164813
ME weighting,0.018914107699154428,0.02900307749696913,0.06401127429164813,0.07187360925678683
