TrackPos,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3
0,0.08757340441090979,,0.9124265955890897
1,0.020874821945135597,,0.9791251780548643
2,0.027946345655505272,,0.972053654344494
3,0.04459245005515932,,0.9554075499448409
4,0.05237496391417921,0.17851767355192472,0.769107362533896
5,0.08024838475512787,0.14698734342188358,0.772764271822988
6,0.12385982757133299,0.14029007785751516,0.7358500945711511
7,0.14720747759686945,0.1461058921822081,0.7066866302209225
8,0.15358516121097493,0.15238987584314345,0.6940249629458812
9,0.1559542869041791,0.1564347938517076,0.687610919244113
10,0.16461677353017898,0.15837544541485613,0.6770077810549652
11,0.17663703325764477,0.15958898072820613,0.6637739860141496
12,0.19177306377119543,0.15819016701028582,0.6500367692185185
13,0.21090089464627437,0.1553098947052276,0.6337892106484986
14,0.23092809683334456,0.15085642651312356,0.6182154766535317
15,0.2482400591803225,0.14634862788107178,0.6054113129386063
16,0.2626053613889165,0.14255935727157998,0.5948352813395029
17,0.27638554341941574,0.13922122771434223,0.5843932288662422
18,0.2912342381962364,0.13520247774795108,0.5735632840558128
19,0.30532599387533016,0.13293653458563484,0.561737471539035
20,0.3186843354314876,0.1327886239492515,0.5485270406192615
21,0.3207147092846995,0.13119118181270223,0.5480941089025986
22,0.3262719320452895,0.13140763702956026,0.5423204309251503
23,,,
24,,,
25,,,
26,,,
