FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y
21.0000,8.0000,1756.5998,1380.1464,1705.6629,1141.0322,278.5336,978.9639,988.5993,778.9225,518.8732,662.5128,1785.7330,336.3214,643.3673,326.8569,705.1972,63.6320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,8.0000,1756.5989,1457.7765,1705.6028,1219.6908,278.9505,1057.2426,988.9929,857.0591,519.3431,741.2575,1787.2457,415.5954,643.9394,405.4789,704.5482,141.1473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,8.0000,1756.1255,1534.5702,1705.6218,1297.7475,279.4189,1134.4527,989.1903,934.9234,520.1246,818.9092,1787.5437,493.9047,644.0036,483.4426,704.2498,217.3524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,8.0000,1755.5005,1612.3721,1705.7113,1376.2042,279.7463,1211.8485,989.3278,1012.9928,520.4459,896.5825,1787.6898,571.8866,644.3484,561.4063,703.6045,294.7972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,7.0000,1706.6748,1453.5563,280.3967,1288.5656,989.7601,1090.1244,520.8011,973.3314,1787.9230,647.7944,644.8695,638.6080,703.7650,371.4260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,7.0000,1706.8963,1530.8798,281.3215,1365.3541,989.9930,1167.7488,521.4785,1050.8280,1787.9844,724.1428,645.3368,716.5113,703.9455,449.5018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,7.0000,1707.2627,1607.7708,281.7129,1442.5931,990.0678,1245.0397,521.6183,1127.8593,1787.3405,800.3493,645.2243,794.5232,704.5652,527.3353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,6.0000,282.3516,1520.3165,990.5013,1323.3187,521.8125,1205.5709,1786.5869,877.2306,645.4474,872.9322,705.2453,606.4434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,6.0000,282.7554,1597.4329,991.1604,1401.2637,521.9247,1282.6075,1785.9633,953.7397,645.3992,951.1933,705.9147,685.5974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,5.0000,991.2745,1479.8417,521.9686,1360.7731,1785.2338,1032.1564,645.1805,1030.3328,706.8436,766.3286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,5.0000,991.5626,1557.5156,522.1731,1437.8636,1784.6880,1109.6418,645.2059,1108.7593,708.3662,846.5150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,6.0000,992.2718,1636.1453,522.2107,1515.5226,1784.9896,1188.1146,645.0159,1187.7524,710.6802,927.3504,1197.6657,63.7119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,5.0000,522.6955,1592.7877,1785.1226,1266.6716,645.0118,1265.5336,712.5011,1007.5080,1196.8462,142.6165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,5.0000,523.0786,1669.6509,1785.5964,1346.4768,645.2287,1344.2332,714.5110,1087.8540,1195.6179,222.5196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,4.0000,1786.3071,1425.7249,645.7667,1421.7176,716.6243,1166.8696,1193.9866,301.5502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
