FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y
0.0000,3.0000,316.7985,605.8868,742.0493,335.0175,763.8951,97.5922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,3.0000,316.9834,685.3674,743.1539,413.8933,764.0618,176.5615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,4.0000,317.2040,763.7884,744.7152,491.9106,763.9595,254.9173,791.1514,79.8329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,5.0000,317.5628,842.9811,746.3605,570.3153,764.3151,333.7793,790.8550,156.6937,604.8400,54.7877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,5.0000,317.8265,921.4208,748.4353,648.0566,764.5452,412.1402,790.1748,233.5212,604.8779,133.6911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,5.0000,318.4089,1000.3761,750.9152,726.0948,764.4734,491.1479,789.7494,310.7881,604.8832,212.6490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,5.0000,319.1399,1078.6341,754.1335,803.6618,764.8596,569.1843,789.5186,387.6925,605.2331,290.3692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,5.0000,319.6331,1157.9499,757.2971,880.9388,764.9292,648.5955,789.1905,465.5554,605.2503,368.1925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,5.0000,319.9805,1235.6046,761.1037,958.2796,764.9797,726.8565,788.6221,542.3727,605.3651,445.2373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,5.0000,320.6455,1314.3404,764.9785,1036.3446,765.5424,805.7245,788.2312,619.5360,605.7398,523.4613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,6.0000,321.1354,1391.9565,767.5076,1113.1245,765.7478,884.1072,787.9364,696.5117,606.2122,601.3796,1076.6362,63.7350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,6.0000,321.8976,1470.5768,770.0233,1191.9432,765.8228,963.3258,787.4536,774.6189,606.1710,681.0692,1076.8915,142.5711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,6.0000,322.8242,1547.2326,771.7552,1269.8740,766.2256,1042.5350,786.1757,852.7898,606.3565,760.6890,1077.2725,221.5297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,7.0000,323.7375,1623.9812,773.4294,1348.1016,766.9268,1121.5806,785.4203,930.7192,606.7103,841.0786,1077.4012,300.8708,767.9692,41.2064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,6.0000,773.5501,1426.3780,767.0341,1201.0506,785.1613,1008.8311,606.7917,921.1223,1077.7493,380.8727,767.9458,120.9357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,6.0000,773.7309,1504.2639,767.1594,1280.6760,785.4355,1086.3409,607.3536,1000.9874,1077.8608,460.8851,768.2512,201.3875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,7.0000,773.0935,1582.9207,767.7498,1360.0016,786.0782,1163.8514,608.0158,1080.1810,1078.0895,540.6182,768.4132,281.5816,455.9879,47.8407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,8.0000,772.3924,1660.9945,767.9788,1439.6409,787.4868,1241.4855,608.6410,1158.9701,1078.4603,620.5520,769.3638,362.0188,456.8929,126.5720,790.6113,66.3304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,7.0000,768.8968,1518.5743,788.2700,1319.2634,609.1160,1237.7142,1078.6984,700.0145,770.0922,442.3607,458.2781,205.1257,790.7499,145.1882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,7.0000,769.6888,1597.8413,788.4339,1397.4452,609.6907,1316.8252,1079.2426,779.2204,771.1257,522.8258,459.9095,283.3767,790.5199,224.0947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,6.0000,788.4646,1476.0531,610.5209,1396.0412,1079.7020,858.4696,772.0619,603.8427,461.3850,360.9047,790.8770,303.3707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,6.0000,788.4872,1554.4839,611.4696,1474.9224,1079.9137,937.3664,773.2910,684.2508,463.4251,437.8545,791.0252,382.0480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,6.0000,788.9675,1633.0199,612.1973,1553.3906,1080.0864,1016.4160,773.4403,765.3272,465.7358,514.9587,791.3050,460.6861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,5.0000,612.6555,1631.5318,1080.8430,1095.6434,773.2374,845.6720,468.1275,591.7376,791.6773,539.5152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,4.0000,1080.7404,1174.4101,773.4681,926.3038,470.6901,668.6193,791.7321,618.1108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,4.0000,1081.2175,1252.3149,774.4377,1005.6825,473.2696,745.1636,791.9205,696.2141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,4.0000,1081.5928,1331.0750,775.2974,1085.4820,475.8742,823.1041,792.1803,775.6792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,4.0000,1082.3691,1409.8655,776.2371,1164.4508,478.3247,900.7589,792.7082,854.5380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,4.0000,1082.1023,1488.1912,777.1976,1243.5147,480.0113,978.3213,793.1597,932.7146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,5.0000,1081.4099,1565.9198,777.8575,1321.8484,481.3351,1055.9651,793.5006,1010.7181,998.9750,53.6569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,5.0000,1080.8820,1644.5623,778.7008,1401.1626,481.9197,1134.0407,794.0920,1089.5845,999.8437,132.7493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,6.0000,780.0768,1479.1171,482.2337,1210.6350,794.4013,1167.0958,1000.7200,210.3294,1342.9628,91.4979,1017.5434,81.0135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,7.0000,781.0448,1557.4135,481.9856,1288.5200,794.8020,1245.3107,1001.5838,288.7695,1343.1075,169.4899,1018.1717,159.1710,1120.5103,76.3351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,7.0000,782.1640,1634.7496,481.8171,1366.6270,795.5729,1323.0418,1001.8476,366.8468,1343.4406,246.4760,1018.1499,236.6271,1120.9484,153.4154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,6.0000,481.1369,1444.9685,796.1040,1401.3629,1001.8838,445.9037,1344.1105,324.5642,1018.1729,314.6263,1120.9911,230.8515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,6.0000,480.4163,1523.0750,796.9761,1479.0341,1002.0743,524.2549,1344.1900,401.8542,1018.5192,392.0045,1120.8963,308.6828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,6.0000,479.9349,1602.0726,798.1944,1556.6691,1002.6437,603.0657,1344.6081,480.2731,1018.7168,470.4155,1121.2547,386.6311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,5.0000,798.9720,1633.2820,1002.8649,681.2618,1345.1109,558.0340,1019.0471,547.9952,1121.4376,464.2587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,4.0000,1003.4188,760.2627,1018.9902,627.3467,1345.3137,637.0021,1122.0314,542.8996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,5.0000,1003.5816,838.3306,1345.9333,714.7864,1019.6554,704.9441,1121.9792,620.4808,1066.5736,110.2971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,6.0000,1004.2079,917.0199,1346.3249,792.9199,1020.1003,783.1078,1122.2518,698.6961,1066.8906,187.9970,1004.1872,82.7086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
