FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y
2003.0000,13.0000,1736.9057,1598.3469,742.1922,1246.8467,1758.8877,1266.4242,1626.2765,1239.6706,1300.0772,1227.9813,542.1849,1236.6059,1858.6307,838.5887,1047.4012,611.2890,2085.7508,404.0208,1184.1375,415.9809,1675.5935,345.2060,1361.3441,295.7738,1873.3801,45.6572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004.0000,14.0000,1758.7728,1345.2886,742.2164,1325.3489,1626.4398,1317.7064,1301.0035,1307.0342,541.8737,1313.1167,1858.9769,917.1777,1047.8406,690.0367,2087.2054,482.1557,1184.5358,493.4913,1676.0663,423.4472,1360.2843,375.2568,1873.8447,124.0215,1317.9858,66.5543,1650.8847,46.5332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005.0000,14.0000,1758.7020,1423.1956,741.9663,1403.0193,1626.5921,1395.4406,1302.0431,1385.8602,541.2586,1388.1709,1859.2377,995.0021,1048.0895,767.9678,2088.1252,559.4202,1184.5725,569.3309,1676.7828,501.3756,1359.8062,453.3817,1874.4358,200.5772,1318.6595,143.5487,1651.7040,123.6538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006.0000,16.0000,1758.7423,1501.7229,742.3715,1480.9433,1627.0454,1473.3172,1303.2781,1464.8342,540.4280,1463.7936,1859.2213,1073.4577,1048.3524,846.4522,2089.2041,637.0009,1184.5200,646.3832,1677.5874,579.2561,1359.5680,533.0126,1875.1469,278.3051,1319.2658,220.9464,1651.8572,201.3997,1508.5310,111.9022,1590.7458,44.6671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007.0000,16.0000,1758.5712,1578.8507,742.2779,1557.8042,1627.5910,1550.1817,1304.2209,1543.0533,539.5350,1538.2766,1858.7891,1150.7817,1048.5522,924.8815,2090.5087,714.0641,1184.2359,722.8567,1678.6145,657.1567,1359.8043,611.2764,1875.4276,356.0578,1320.5833,298.6214,1652.4407,278.9223,1509.1670,189.0482,1591.0329,122.4152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008.0000,15.0000,742.2751,1635.3350,1627.6009,1628.6690,1305.4485,1622.2994,538.4962,1614.5234,1858.9083,1228.9399,1048.7019,1004.1594,2091.6753,792.3559,1183.8508,800.3445,1679.7418,736.2252,1360.2353,690.2004,1876.0172,434.5335,1321.7263,376.4251,1652.9529,357.3826,1509.5851,266.9345,1591.5566,200.6410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009.0000,11.0000,1859.1610,1306.6073,1049.1312,1082.4556,2093.2312,870.2472,1183.1766,877.8164,1681.4410,814.6033,1361.1458,768.5451,1876.4495,512.1525,1323.2962,454.2901,1653.5318,435.0014,1510.1955,344.8277,1592.0159,278.2075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010.0000,11.0000,1859.3860,1385.5260,1049.4738,1162.2991,2093.7301,948.4994,1182.1123,956.8471,1683.2346,894.2059,1362.2872,847.9622,1876.6988,591.7526,1325.1328,533.6012,1654.0880,514.3362,1510.4846,424.4410,1592.3739,357.6000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011.0000,11.0000,1858.8142,1463.7964,1049.7723,1241.3314,1180.9593,1035.5717,2094.6968,1026.0924,1685.1921,973.4672,1364.1063,926.7389,1877.1314,670.4882,1327.3847,611.7576,1654.4376,593.1111,1511.0492,503.2673,1592.9696,436.3322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012.0000,12.0000,1858.3861,1542.4909,1050.0447,1320.6595,1179.5794,1115.2551,2096.0870,1104.2946,1687.3347,1053.4018,1366.5391,1005.8606,1877.5318,749.5732,1329.5588,690.3721,1654.3959,672.3666,1511.3080,582.4620,1593.2091,515.3830,516.5062,47.0656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
