Expert names,LSTM_1024_16,LSTM_16_16,MLP_16_16_16,KF_CV_sw18,KF_CA_sw18E3,Simple Ensemble
LSTM_1024_16,1.0,0.9739913085049993,0.819696690735051,0.05685958252916932,0.03992748437834728,0.9784553128358076
LSTM_16_16,0.9739913085049993,1.0,0.7921227979881847,0.05039852350067622,0.027930537267028398,0.9706668256034363
MLP_16_16_16,0.819696690735051,0.7921227979881847,1.0,0.16698916634867392,0.12913083362111963,0.8722710183137925
KF_CV_sw18,0.05685958252916932,0.05039852350067622,0.16698916634867392,0.9999999999999998,0.7932083921090908,0.1898388888618275
KF_CA_sw18E3,0.03992748437834728,0.027930537267028398,0.12913083362111963,0.7932083921090908,1.0,0.1318276417037566
Simple Ensemble,0.9784553128358076,0.9706668256034363,0.8722710183137925,0.1898388888618275,0.1318276417037566,1.0
