TrackPos,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3
0,0.21367882546194145,,0.786321174538049
1,0.21367882546194145,,0.786321174538049
2,0.21367882546194145,,0.786321174538049
3,0.21367882546194145,,0.786321174538049
4,0.1494357195559817,0.3006526536594074,0.5499116267845972
5,0.1494357195559817,0.3006526536594074,0.5499116267845972
6,0.1494357195559817,0.30065265365940747,0.5499116267845973
7,0.1494357195559817,0.30065265365940747,0.5499116267845973
8,0.1494357195559817,0.3006526536594075,0.5499116267845973
9,0.1494357195559817,0.3006526536594075,0.5499116267845973
10,0.1494357195559817,0.3006526536594076,0.5499116267845973
11,0.1494357195559817,0.3006526536594076,0.5499116267845973
12,0.1494357195559817,0.3006526536594076,0.5499116267845973
13,0.1494357195559817,0.30065265365940763,0.5499116267845974
14,0.1494357195559817,0.3006526536594077,0.5499116267845974
15,0.1494357195559817,0.30065265365940774,0.5499116267845974
16,0.1494357195559817,0.3006526536594078,0.5499116267845974
17,0.1494357195559817,0.30065265365940785,0.5499116267845975
18,0.14943571955598173,0.3006526536594084,0.5499116267845977
19,0.14943571955598178,0.30065265365941096,0.5499116267845992
20,0.14943571955598225,0.3006526536594119,0.5499116267846061
21,0.14943571955598262,0.3006526536594111,0.5499116267846061
22,0.14943571955598273,0.30065265365941135,0.549911626784606
23,,,
24,,,
25,,,
26,,,
