TrackPos,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3
0,,0.3066609883577569,0.6933390116422437
1,,0.053984830521218566,0.946015169478781
2,,0.07651490883915898,0.9234850911608412
3,,0.19932139869813986,0.80067860130186
4,0.627038489054351,0.031909882815490946,0.341051628130158
5,0.6795894377794516,0.016571848305917403,0.3038387139146311
6,0.5682671546354601,0.028254119319159093,0.40347872604538126
7,0.4705195972267582,0.04247200348774134,0.4870083992855002
8,0.4309080433418062,0.050059377430314564,0.5190325792278798
9,0.3921545383721227,0.05640785270544195,0.5514376089224358
10,0.34786966992368373,0.0617304071731985,0.5903999229031178
11,0.26798218467163526,0.07832200891309983,0.6536958064152649
12,0.18298827273244778,0.10893866561333324,0.7080730616542187
13,0.1336305936399102,0.1413616503891773,0.7250077559709126
14,0.11840144413454565,0.1672474867233416,0.7143510691421124
15,0.11855403336672146,0.17586674992598234,0.7055792167072968
16,0.12373980420157746,0.18234554204521214,0.6939146537532102
17,0.13158575676929565,0.1893894822367712,0.6790247609939335
18,0.14255744860151248,0.1969423889538558,0.6605001624446314
19,0.15623134802595787,0.2047284389236419,0.6390402130504003
20,0.17149536166390916,0.21241321222861362,0.6160914261074769
21,0.1887180162138033,0.2204766940273458,0.5908052897588509
22,0.22150344307486494,0.23287751269859772,0.5456190442265372
23,0.27147407870197104,0.2472407679920703,0.4812851533059586
24,0.32709678222048805,0.2577559884209756,0.4151472293585365
25,0.3860139227071686,0.2632216558457772,0.35076442144705433
26,0.444860640473804,0.2621851326173047,0.29295422690889095
27,0.49821468300978466,0.2508966247994303,0.2508886921907849
28,0.5501067350400926,0.23582314285456052,0.21407012210534687
29,0.6004469531386359,0.2190291800565148,0.18052386680484891
30,0.6505922101930313,0.19859977615862728,0.1508080136483416
31,0.7007089934450288,0.1760551890119928,0.12323581754297841
32,0.7394030827648207,0.15996301891899803,0.10063389831618129
33,0.7720127992172147,0.1454509728271592,0.08253622795562611
34,0.8021070327416536,0.12542734876708672,0.07246561849125961
35,0.8273471266679339,0.11343036139018157,0.059222511941884624
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
