FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
32.0000,6.0000,1722.3047,1625.1513,1374.6090,1412.1203,1000.5865,807.7909,701.2100,753.5341,1277.3935,684.4120,1656.2494,576.7750,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,6.0000,1377.9858,1502.9387,1001.5813,901.3090,702.3085,848.1986,1275.1372,775.0779,1654.7047,669.3802,1501.3609,94.5982,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,7.0000,1381.5075,1592.4668,1002.5000,993.9466,703.6297,941.7693,1272.9072,864.3065,1652.9388,760.8664,1499.1288,187.0792,881.1676,55.4805,NaN,NaN,NaN,NaN
35.0000,6.0000,1003.5100,1086.9479,704.8745,1035.5291,1270.8335,954.2434,1651.2526,852.9533,1496.8793,279.9646,880.3236,146.6780,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,6.0000,1004.5829,1179.1860,706.0232,1128.6628,1268.8410,1043.4500,1649.5947,944.2257,1494.8000,372.2411,879.2315,237.2632,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,6.0000,1005.6078,1272.0076,707.2525,1222.4765,1266.6207,1133.5744,1647.6001,1036.3367,1492.7595,465.3125,878.1769,328.9944,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,6.0000,1006.8248,1363.4572,708.0710,1315.1276,1264.5487,1221.5407,1645.4180,1127.3352,1490.7785,557.1387,877.0293,419.1925,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,6.0000,1008.0627,1455.6723,709.2337,1408.5978,1262.4967,1310.6603,1643.4793,1219.2602,1488.6636,650.0408,875.8194,510.6413,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,6.0000,1009.5758,1546.6467,710.6554,1500.6132,1260.2610,1398.3127,1641.4076,1309.8667,1486.7038,741.9092,875.0051,601.2361,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,6.0000,1010.7705,1638.5395,711.7928,1593.4544,1258.1335,1487.0992,1639.3765,1401.6054,1484.6720,834.9351,874.0944,692.7097,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,4.0000,1255.7447,1574.5822,1636.9637,1492.1039,1482.4745,926.8835,873.0956,783.2365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,4.0000,1253.4306,1662.6049,1634.5558,1583.1816,1480.3999,1019.5592,872.2656,874.6881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,2.0000,1478.2619,1111.4857,871.6352,965.0485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,2.0000,1475.9585,1204.5119,871.0404,1056.3720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,2.0000,1473.8585,1296.1524,870.4346,1146.3360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,2.0000,1471.7577,1387.9850,869.9929,1236.9305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,2.0000,1469.5276,1478.6474,869.7389,1325.9897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,2.0000,1467.1318,1570.1556,869.5126,1415.8002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,2.0000,1464.5521,1660.8949,869.1455,1504.4666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,1.0000,869.0938,1593.6953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,1.0000,895.1832,122.8810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,1.0000,896.5534,215.0357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,1.0000,898.1059,306.9795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,1.0000,899.7636,399.6193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,1.0000,901.4822,491.1351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,1.0000,902.9790,583.0504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,2.0000,904.8167,674.2772,1327.1647,92.7640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,3.0000,906.4002,766.7276,1328.2989,185.2974,1791.5364,92.5892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,3.0000,908.2716,857.8535,1329.4238,276.7751,1788.1806,181.6493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,3.0000,909.8470,950.3841,1330.5381,369.2653,1785.1884,271.7046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,3.0000,911.8188,1041.2586,1331.5841,460.5006,1781.9914,360.7870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
