FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
0.0000,4.0000,1236.1621,1637.5150,1470.5863,1276.2130,973.6514,178.9258,1213.9085,48.9814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,4.0000,1474.8591,1367.3578,972.0765,271.0807,1210.2722,140.8107,962.5652,44.2248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,4.0000,1479.6307,1457.8355,970.6505,362.6625,1206.3072,232.0242,966.5228,132.8917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,4.0000,1484.3906,1549.4133,969.2507,455.7410,1202.3463,324.0185,970.3125,222.5081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,4.0000,1489.0881,1639.4243,967.8006,547.4415,1198.2986,414.5307,974.1547,311.0140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,3.0000,966.1796,640.4102,1194.8716,506.5861,978.0483,400.2857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,3.0000,964.9832,732.3802,1191.5990,598.5938,981.8266,489.2493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,3.0000,963.6640,825.4041,1187.8054,691.2333,985.6606,578.8272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,3.0000,962.4868,917.1134,1183.8602,782.5491,989.2981,667.3901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,4.0000,961.0461,1009.3056,1180.3810,873.9778,992.7395,756.5600,416.3705,120.8903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,4.0000,960.0340,1100.5825,1176.7781,965.3278,996.3130,845.2234,412.8476,211.2494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,959.1750,1192.5261,1172.8429,1056.8428,999.7363,934.7771,408.8600,302.0547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,4.0000,958.3357,1283.6262,1169.5379,1147.9593,1003.0926,1023.2146,405.4509,392.0082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,4.0000,957.5660,1374.7136,1165.6196,1238.8040,1006.4891,1111.9712,402.1195,482.6764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,4.0000,956.8197,1465.2237,1162.0664,1329.3104,1009.9281,1199.8973,398.7712,572.9715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,5.0000,955.9863,1556.3185,1157.4610,1419.8893,1013.5708,1288.3768,395.4407,663.6870,1373.2305,82.0999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,5.0000,955.2691,1646.5184,1153.5019,1510.0428,1016.9346,1376.2412,392.3305,753.9595,1370.5074,175.1159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,4.0000,1149.5260,1600.1228,1020.6011,1464.1325,389.3261,844.3758,1367.4984,268.3973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,3.0000,1024.1330,1551.2220,386.1892,934.9322,1364.3164,361.6227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,3.0000,1027.9494,1638.3313,382.8563,1025.2616,1361.0626,455.1067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,2.0000,379.9362,1115.2120,1357.9885,548.8792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,2.0000,377.0781,1204.7702,1355.0578,642.3566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,2.0000,373.9858,1294.4952,1352.1497,736.0275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,2.0000,370.8613,1383.7579,1349.4960,829.3894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,2.0000,367.7511,1472.6205,1346.8704,923.0262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,2.0000,364.7752,1561.1113,1344.2251,1015.9336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
