FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
0.0000,1.0000,1165.6921,1049.3852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,1.0000,1165.2215,1141.5471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,1.0000,1164.8832,1234.2645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,2.0000,1164.5645,1325.9686,1401.4068,46.6463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,3.0000,1163.9665,1417.9287,1402.0656,139.4055,1022.3516,105.5540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,3.0000,1163.7628,1508.9967,1402.8163,231.3547,1020.8371,197.8629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,3.0000,1163.4889,1601.1327,1403.2047,324.4836,1019.6926,291.2415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,2.0000,1404.0709,417.2466,1018.5425,384.1917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,2.0000,1405.0020,510.4804,1017.5074,477.9515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,2.0000,1405.9295,602.9639,1016.5953,570.9716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,3.0000,1406.5290,696.6372,1015.2876,665.1146,1056.0183,68.2728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,3.0000,1407.5312,788.7397,1014.5116,758.0036,1056.1902,158.7326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,3.0000,1408.1963,881.7301,1013.6220,851.6851,1056.4764,250.6682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,3.0000,1408.8584,973.6043,1012.8921,944.3655,1056.7862,341.1507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,3.0000,1409.6552,1066.2487,1012.1172,1038.0844,1057.2612,432.8672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,3.0000,1410.1173,1157.9174,1011.2509,1129.8318,1057.5284,523.1149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,3.0000,1410.6202,1250.0829,1010.4898,1222.1576,1058.1017,614.2855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,3.0000,1411.2778,1341.3453,1009.7714,1314.0951,1058.6623,705.3272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,3.0000,1411.4523,1433.6931,1009.0790,1406.6858,1059.3805,797.1413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,3.0000,1411.4382,1524.9870,1008.2803,1498.1759,1060.1270,888.0334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,5.0000,1411.5500,1617.3102,1007.6254,1590.2143,1061.1187,979.6082,832.0094,69.8576,1359.9686,59.0937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,3.0000,1061.9289,1070.8758,834.0815,164.7591,1359.0378,149.7672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,3.0000,1062.6907,1162.1266,835.9260,259.6169,1358.1400,241.5299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,3.0000,1063.5519,1253.1340,838.0494,354.6776,1357.2068,333.3160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,3.0000,1064.1669,1344.1933,840.2397,449.3320,1356.4396,424.7938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,3.0000,1064.8812,1434.8242,842.5084,544.0151,1355.4167,515.9991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,3.0000,1065.3954,1525.3158,844.7746,638.6145,1354.3139,607.2664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,3.0000,1065.9274,1615.5943,847.0554,733.0997,1353.0481,698.6942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,2.0000,849.3452,827.1820,1351.8254,789.0656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,2.0000,851.6962,921.8030,1350.3901,880.0918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,2.0000,853.6661,1015.4839,1348.8736,970.0755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,2.0000,855.8544,1109.8628,1347.3345,1060.5692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,2.0000,858.4122,1203.7234,1345.7877,1150.8586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,4.0000,860.9010,1298.2006,1344.1697,1241.7161,1375.1882,95.4086,824.8212,56.2703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,5.0000,863.4049,1391.2268,1342.4720,1331.4976,1374.2262,187.3827,823.4653,148.9455,516.0439,97.4660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,5.0000,865.8611,1484.7301,1340.7108,1421.6687,1373.3081,281.3324,822.0960,242.6219,514.5082,190.9688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,5.0000,868.4016,1577.8477,1339.2161,1511.3886,1372.6226,374.1788,820.4438,335.9691,513.0758,283.7957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,4.0000,1337.7953,1601.7920,1371.2915,468.1319,818.7294,430.1749,511.4132,377.7184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,4.0000,1370.1848,560.2836,817.2913,522.7829,510.1212,470.1633,1510.2659,74.3825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,4.0000,1368.8934,653.5313,815.8885,616.6946,508.9836,563.4679,1504.6516,167.5001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,4.0000,1367.9312,745.5076,814.4434,709.6412,507.7216,655.7296,1498.8501,259.6464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,4.0000,1366.8250,838.7754,813.2313,803.3165,506.4957,749.2107,1493.1066,352.6316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,4.0000,1366.1540,930.7873,811.9493,895.3498,505.6141,841.0011,1487.3052,444.1266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,4.0000,1365.2103,1023.8383,810.8760,988.3821,504.4506,934.3808,1481.5314,536.8387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,4.0000,1363.8857,1115.7448,809.5425,1080.3969,503.3763,1026.5584,1475.5284,628.4194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,4.0000,1362.9788,1208.0593,808.3545,1173.4331,502.5272,1119.6845,1469.5531,720.9337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,4.0000,1362.1184,1299.8073,806.9602,1265.2589,501.6206,1211.7764,1463.5567,812.8207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,5.0000,1361.0604,1391.6603,805.9754,1357.8611,501.0586,1304.3286,1457.4259,905.1152,916.2093,102.5276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,5.0000,1360.1066,1483.2424,804.8176,1449.9304,500.4148,1396.3325,1451.9049,996.8300,912.2949,194.5728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,5.0000,1358.9590,1575.4270,803.7095,1542.0331,499.8690,1488.4738,1445.3930,1089.4781,908.0068,287.2401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,4.0000,802.5845,1633.6613,499.5495,1579.7533,1438.9900,1181.3416,904.1068,379.3538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,2.0000,1432.7457,1273.3662,900.2675,471.9018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,2.0000,1426.9003,1365.1634,896.2672,564.6835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,3.0000,1420.9026,1457.0025,892.1959,657.0315,663.9120,47.5299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,3.0000,1415.0771,1548.2294,887.7903,749.1771,663.1582,139.7906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,3.0000,1408.9763,1639.0208,883.5502,840.8396,662.6316,231.7371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,2.0000,879.0328,933.0157,662.0164,324.1865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,2.0000,874.5378,1024.1848,661.4029,416.1659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,2.0000,870.2035,1115.4129,660.7575,508.7469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,2.0000,865.9555,1206.3136,660.4306,600.7461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,2.0000,861.8083,1297.5685,660.1447,693.8334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,2.0000,857.4283,1388.1943,659.6966,785.5935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,2.0000,853.1633,1479.0283,659.5675,877.5565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,2.0000,849.8215,1568.5747,659.3770,968.9911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,2.0000,845.9878,1659.1690,659.0804,1061.5447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,1.0000,658.7211,1153.2166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,1.0000,658.4468,1245.4067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,1.0000,658.5540,1336.5764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.0000,1.0000,658.1159,1428.7380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0000,1.0000,658.1903,1519.0134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.0000,2.0000,658.7082,1609.7118,1157.4366,74.2041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.0000,1.0000,1160.5647,165.5617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,1.0000,1163.6061,257.6932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,1.0000,1166.4821,349.0280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.0000,1.0000,1169.3547,441.5110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,3.0000,1172.3412,533.2932,1243.9146,108.2385,954.6942,69.7745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,4.0000,1175.4243,625.5847,1243.5067,201.2832,956.8152,162.3484,1699.0620,96.7870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,4.0000,1178.5024,717.5152,1243.3966,294.1752,958.7075,254.7861,1692.7920,189.2716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78.0000,4.0000,1181.7529,809.6106,1243.3747,387.2596,960.9335,347.1796,1686.6462,281.0874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.0000,4.0000,1184.9346,901.0196,1243.2876,480.3043,962.7668,439.7206,1680.4818,373.2102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.0000,4.0000,1187.9834,992.7334,1242.7350,573.4567,964.6869,532.2383,1674.1897,465.8265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.0000,4.0000,1191.3355,1084.7306,1242.3586,666.9521,966.5332,624.9198,1668.1582,558.5491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.0000,4.0000,1194.7990,1176.1001,1242.1873,760.0009,968.3377,717.2954,1662.0610,650.5685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.0000,4.0000,1198.2748,1267.7535,1241.5483,853.7201,970.1129,810.2786,1655.9808,742.8664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
