FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y
70.0000,2.0000,715.1338,1623.0235,548.9713,1007.7432,NaN,NaN,NaN,NaN
71.0000,1.0000,543.2862,1097.0154,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,1.0000,537.6781,1186.2955,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,1.0000,532.1692,1274.7862,NaN,NaN,NaN,NaN,NaN,NaN
74.0000,1.0000,526.6477,1364.1292,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,1.0000,521.1658,1452.3151,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,1.0000,515.5175,1540.1060,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,1.0000,510.2231,1627.0526,NaN,NaN,NaN,NaN,NaN,NaN
78.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89.0000,1.0000,1341.3870,86.6396,NaN,NaN,NaN,NaN,NaN,NaN
90.0000,1.0000,1342.6235,179.0422,NaN,NaN,NaN,NaN,NaN,NaN
91.0000,1.0000,1344.0934,270.6121,NaN,NaN,NaN,NaN,NaN,NaN
92.0000,1.0000,1345.6113,362.4681,NaN,NaN,NaN,NaN,NaN,NaN
93.0000,1.0000,1346.9029,454.5287,NaN,NaN,NaN,NaN,NaN,NaN
94.0000,1.0000,1348.2870,546.8580,NaN,NaN,NaN,NaN,NaN,NaN
95.0000,1.0000,1349.7113,639.6402,NaN,NaN,NaN,NaN,NaN,NaN
96.0000,1.0000,1351.4057,732.1262,NaN,NaN,NaN,NaN,NaN,NaN
97.0000,1.0000,1353.0001,824.8216,NaN,NaN,NaN,NaN,NaN,NaN
98.0000,1.0000,1354.4739,917.1275,NaN,NaN,NaN,NaN,NaN,NaN
99.0000,1.0000,1356.0000,1009.6803,NaN,NaN,NaN,NaN,NaN,NaN
100.0000,1.0000,1357.6524,1101.8824,NaN,NaN,NaN,NaN,NaN,NaN
101.0000,1.0000,1359.1955,1194.1035,NaN,NaN,NaN,NaN,NaN,NaN
102.0000,1.0000,1360.8772,1285.0300,NaN,NaN,NaN,NaN,NaN,NaN
103.0000,1.0000,1362.3089,1376.1011,NaN,NaN,NaN,NaN,NaN,NaN
104.0000,1.0000,1363.9388,1465.7426,NaN,NaN,NaN,NaN,NaN,NaN
105.0000,1.0000,1365.2718,1556.6465,NaN,NaN,NaN,NaN,NaN,NaN
106.0000,1.0000,1366.5620,1646.5664,NaN,NaN,NaN,NaN,NaN,NaN
107.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
