FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y
1548.0000,9.0000,946.8870,1371.6397,1605.6334,1368.9551,1103.8884,1227.7761,790.1216,894.7361,705.4967,829.0624,1741.2088,679.2984,1532.0607,579.3716,1120.1381,336.0038,433.0994,63.0209,NaN,NaN
1549.0000,9.0000,1606.2975,1461.7477,946.6737,1461.6959,1101.6713,1319.8846,791.1083,986.5560,704.5536,919.1180,1741.6821,768.4521,1531.6801,672.3152,1120.3335,428.0898,432.6718,155.0782,NaN,NaN
1550.0000,9.0000,1607.1246,1553.4169,946.7140,1550.4528,1099.9376,1410.3725,792.1389,1077.3538,703.9490,1008.2090,1742.1272,856.3015,1531.2598,764.2074,1120.3653,518.8662,432.1137,246.4452,NaN,NaN
1551.0000,9.0000,1607.6969,1646.0191,946.6991,1640.2756,1098.2682,1501.4937,793.0897,1168.8992,703.0715,1098.2613,1742.5982,945.4855,1530.7157,857.3343,1120.7007,610.6660,431.7568,338.9177,NaN,NaN
1552.0000,7.0000,1096.5300,1592.0001,794.1001,1258.6466,702.4828,1186.8695,1742.6661,1033.2415,1529.9948,948.9876,1120.9752,700.8956,431.7138,430.1984,NaN,NaN,NaN,NaN,NaN,NaN
1553.0000,6.0000,795.3783,1349.2704,701.8466,1275.5420,1742.9769,1121.5932,1529.2132,1041.3985,1121.2041,792.0834,431.6975,522.2609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1554.0000,6.0000,796.3788,1439.3559,701.5857,1363.9424,1743.1631,1209.2858,1528.5633,1132.8953,1121.3486,883.2087,431.6828,613.8767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1555.0000,6.0000,797.2234,1529.8355,701.2022,1452.6048,1743.4885,1297.7691,1527.6954,1225.4468,1121.7405,975.0996,431.6550,706.2531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1556.0000,6.0000,798.3380,1619.3541,700.8780,1540.3240,1743.7161,1384.8144,1527.0340,1316.8483,1122.1000,1065.7380,431.8357,797.3667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1557.0000,5.0000,700.8352,1628.0302,1743.8303,1471.9774,1526.4866,1408.4071,1122.3997,1156.3688,432.0366,888.9429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558.0000,4.0000,1743.7221,1558.8007,1525.6425,1499.9679,1122.6418,1247.0359,432.2261,980.3303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1559.0000,4.0000,1743.4389,1645.7264,1525.0483,1591.7178,1122.6845,1337.2898,432.4491,1072.0944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1560.0000,2.0000,1122.8165,1427.1663,432.6475,1163.4791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561.0000,2.0000,1123.1757,1516.2493,433.0559,1254.1306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1562.0000,2.0000,1123.2856,1605.7963,433.5558,1345.5035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1563.0000,2.0000,434.1404,1436.2166,1199.8935,120.7141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1564.0000,3.0000,434.9594,1526.6608,1195.4596,212.9237,528.7627,34.0637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1565.0000,3.0000,436.1551,1616.1346,1190.4699,304.5957,524.8696,124.8250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1566.0000,2.0000,1185.6257,397.3327,521.0587,216.8409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1567.0000,2.0000,1180.6559,488.8184,517.0336,307.9592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1568.0000,2.0000,1175.7515,581.7534,513.2414,400.0495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1569.0000,2.0000,1170.6850,673.1758,509.4982,491.1940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1570.0000,2.0000,1165.6469,765.6952,505.6719,583.5683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1571.0000,3.0000,1160.3220,856.7970,501.8647,674.7469,1684.1599,58.0823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1572.0000,3.0000,1155.1292,948.9662,497.9117,767.0853,1684.1171,151.6490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1573.0000,3.0000,1150.0541,1040.2994,494.2258,858.2180,1683.8945,244.6130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1574.0000,3.0000,1144.8849,1132.5330,490.5130,950.3953,1683.5266,338.4347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575.0000,3.0000,1139.2966,1223.4055,486.7752,1040.8014,1683.2101,431.4291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1576.0000,4.0000,1133.8552,1314.7057,482.9140,1132.0441,1683.2020,525.2696,1356.5603,58.0640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1577.0000,4.0000,1128.3521,1405.2129,479.4138,1222.3959,1682.9987,618.2066,1359.1989,149.0684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1578.0000,4.0000,1122.5671,1496.1875,475.1969,1313.5227,1682.9441,712.0350,1361.6395,240.8515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1579.0000,5.0000,1116.9086,1586.0584,471.3472,1403.4864,1682.6497,805.0028,1364.1358,331.8528,570.8891,68.4194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1580.0000,4.0000,467.7120,1493.5141,1682.4593,898.7030,1366.6721,423.8584,568.4131,161.3839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1581.0000,4.0000,464.2263,1582.9578,1681.9909,990.9381,1369.2755,515.0690,565.8177,253.5912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1582.0000,3.0000,1681.5159,1083.6614,1371.9595,606.6007,563.1528,346.3602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1583.0000,3.0000,1680.8807,1176.0080,1374.4899,697.7990,560.6975,438.6108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1584.0000,3.0000,1680.4688,1268.3099,1377.0464,789.0492,557.9503,531.0473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
