FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
41.0000,2.0000,1660.3696,795.8805,1548.8579,705.7519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,2.0000,1656.5130,882.7553,1547.6056,796.5487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,2.0000,1652.7282,970.6930,1546.5576,888.0986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,2.0000,1648.9039,1057.5146,1545.3408,978.8970,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,2.0000,1644.9845,1145.3947,1543.9933,1071.0491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,2.0000,1641.1680,1232.1564,1542.8845,1161.4216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,3.0000,1637.4610,1319.6153,1541.5797,1252.6375,1422.6850,59.2128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,3.0000,1633.8053,1406.0704,1540.3606,1342.9621,1426.5704,152.5952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,3.0000,1630.0678,1493.4357,1539.2467,1434.2925,1430.3620,246.6306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,3.0000,1626.2764,1579.6738,1537.6881,1524.2678,1434.4077,339.4219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,2.0000,1536.2597,1614.7773,1438.4477,433.1421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,1.0000,1442.5196,526.1407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,1.0000,1446.3612,620.0544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,1.0000,1450.4650,713.1120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,1.0000,1454.7954,806.1651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,1.0000,1458.5447,898.8340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,1.0000,1462.4578,991.9422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,1.0000,1466.1297,1084.9865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,1.0000,1469.9049,1177.4779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,1.0000,1473.4866,1270.5279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,1.0000,1477.5650,1362.8536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,2.0000,1481.1362,1455.1708,757.3741,60.0845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,2.0000,1484.7592,1546.5433,760.3381,151.1159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,2.0000,1488.2344,1638.1541,763.2336,243.1615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,1.0000,766.1247,334.1047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,1.0000,769.1319,425.6779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,1.0000,772.3140,516.5356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.0000,1.0000,775.2675,608.8459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0000,2.0000,778.5517,699.8310,1415.5385,79.3626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.0000,2.0000,781.9765,791.5961,1413.7369,169.6441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.0000,2.0000,785.5077,882.4086,1412.2763,259.2779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,2.0000,788.8572,974.2782,1410.2888,349.9994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,3.0000,792.4379,1065.2084,1408.8513,440.0793,1691.7513,119.2671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.0000,3.0000,796.0680,1156.5361,1407.1715,531.0191,1689.3079,211.3421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,3.0000,799.6194,1247.0288,1405.2999,621.6070,1686.9496,302.3729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,3.0000,803.2740,1338.3713,1403.2513,712.5086,1684.2266,394.3467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,4.0000,806.9141,1428.3221,1401.0014,802.2038,1681.8313,485.2475,1115.7332,84.4270,NaN,NaN,NaN,NaN,NaN,NaN
78.0000,4.0000,810.6826,1518.7759,1399.0279,891.6685,1679.2072,576.6874,1114.2420,174.4257,NaN,NaN,NaN,NaN,NaN,NaN
79.0000,4.0000,814.4967,1608.7502,1397.2074,981.1939,1676.3055,667.8201,1112.3834,264.1736,NaN,NaN,NaN,NaN,NaN,NaN
80.0000,3.0000,1395.3986,1071.2278,1673.2878,759.4829,1110.4680,354.4676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.0000,3.0000,1393.4771,1160.7472,1670.0772,850.5642,1108.5961,444.0513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82.0000,3.0000,1391.2945,1250.5816,1666.8118,941.7920,1106.4572,534.1058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83.0000,3.0000,1388.5730,1340.2417,1663.2943,1032.5212,1104.1972,624.1633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84.0000,3.0000,1385.9892,1429.3910,1660.0116,1123.5294,1102.0163,714.0825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85.0000,3.0000,1383.4486,1518.1786,1656.7859,1214.3510,1099.3705,803.8673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86.0000,4.0000,1380.6972,1606.5347,1653.7418,1304.9201,1097.0803,893.2412,839.3387,35.0664,NaN,NaN,NaN,NaN,NaN,NaN
87.0000,3.0000,1650.4148,1395.4975,1094.7482,983.3087,840.3636,127.1744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88.0000,4.0000,1647.6323,1485.4344,1092.3194,1072.5676,841.4064,218.5212,1385.4213,90.2529,NaN,NaN,NaN,NaN,NaN,NaN
89.0000,4.0000,1644.7239,1575.8531,1089.9134,1162.0983,842.6384,310.1329,1384.2824,180.0195,NaN,NaN,NaN,NaN,NaN,NaN
90.0000,4.0000,1641.7934,1665.1788,1087.6047,1250.5732,844.0677,401.4322,1383.5715,269.3823,NaN,NaN,NaN,NaN,NaN,NaN
91.0000,3.0000,1085.6014,1340.3486,845.1615,493.7297,1382.5207,359.6890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92.0000,3.0000,1083.7395,1428.7897,846.2678,584.6525,1381.6334,448.9270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.0000,3.0000,1081.5765,1517.4923,847.4158,676.1828,1380.8655,539.0093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94.0000,4.0000,1079.6916,1605.3089,848.6909,766.9811,1380.0157,628.2387,705.7513,59.0112,NaN,NaN,NaN,NaN,NaN,NaN
95.0000,3.0000,849.9838,858.7950,1379.1450,718.1126,705.8135,152.4224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96.0000,3.0000,851.2639,949.7202,1378.2362,806.7836,705.7618,244.9655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97.0000,3.0000,852.3395,1041.5014,1377.3571,896.7620,706.0493,338.5034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.0000,3.0000,853.6388,1132.1928,1376.5977,985.4175,706.0356,431.2575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99.0000,3.0000,854.8965,1223.9977,1375.8736,1075.6132,706.0588,525.6239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100.0000,3.0000,856.2281,1314.5228,1375.1564,1164.2658,706.0392,619.0638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101.0000,3.0000,857.5897,1405.2811,1374.3489,1253.3695,706.2618,712.7649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102.0000,3.0000,858.9648,1495.4662,1373.4307,1341.7882,706.3444,805.7587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103.0000,3.0000,860.5561,1586.1623,1372.4555,1430.5907,706.4839,898.6028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104.0000,2.0000,1371.5829,1518.5940,706.5905,990.3413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105.0000,2.0000,1370.3980,1606.8537,707.3141,1083.3528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106.0000,3.0000,707.8068,1176.4631,987.9148,81.3527,1249.0023,62.5561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107.0000,3.0000,708.1314,1269.5559,985.6238,174.2616,1248.2198,155.2660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108.0000,3.0000,708.6090,1362.5669,983.5140,266.9175,1247.8226,247.8885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109.0000,3.0000,709.2885,1454.7123,981.6078,359.1532,1247.1930,340.6675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110.0000,3.0000,709.7982,1545.9969,979.9698,451.7174,1246.8332,433.4264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111.0000,3.0000,710.4960,1637.7883,978.3528,544.0863,1246.2580,526.0107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
112.0000,2.0000,976.8527,636.5582,1245.7286,618.5702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.0000,2.0000,975.3569,728.9269,1245.3824,711.1326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114.0000,2.0000,973.7501,821.4638,1244.6640,804.0165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115.0000,3.0000,972.0477,913.5095,1244.1748,896.7548,818.2823,112.9040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116.0000,3.0000,970.1516,1005.7084,1243.4856,989.3141,819.7042,207.0593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.0000,3.0000,968.3644,1096.9976,1242.9706,1081.3721,821.3343,300.7456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.0000,3.0000,966.3300,1189.3906,1242.3983,1174.4385,822.6663,395.5908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.0000,3.0000,964.2239,1280.3099,1241.9621,1265.9639,824.3285,489.2240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120.0000,3.0000,962.2585,1371.7317,1241.6159,1357.4618,825.8042,583.4724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121.0000,4.0000,959.9932,1462.2596,1241.3094,1447.8176,827.4365,676.9413,1572.1009,82.8441,NaN,NaN,NaN,NaN,NaN,NaN
122.0000,4.0000,957.9233,1553.6409,1240.6736,1539.2538,829.0810,771.5425,1575.7469,175.4070,NaN,NaN,NaN,NaN,NaN,NaN
