MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,ME weighting
2.882909452759988e-08,3.222273438381238e-08,2.9877669931592235e-08,2.409434727965484e-08
5.972360411194314e-08,1.0118066087505963e-07,6.804784957876113e-08,5.3356802299829906e-08
1.1540660417006832e-08,1.2117997519894543e-08,1.2038197070610691e-08,9.70914171494279e-09
1.319330321895954e-07,2.3447232225467926e-07,1.518345053348441e-07,1.1878960922043988e-07
1.0618258392539062e-12,8.80600059489656e-13,3.7698074766185936e-12,4.3971263282636e-12
