TrackPos,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3
0,,1.232451365226627e-10,0.9999999998767547
1,,0.07368956584209188,0.9263104341579071
2,,0.24346718163762285,0.7565328183623771
3,,0.20810448205039847,0.7918955179496017
4,0.4241996949671007,0.054473929798807975,0.521326375234091
5,0.4709247271993717,0.016222678307703377,0.5128525944929255
6,0.58564214291239,0.0049671972899136725,0.4093906597976966
7,0.7327532070417913,0.0591514295928927,0.20809536336531634
8,0.6558784482370719,0.09866707916599188,0.24545447259693576
9,0.5663372512362161,0.1512206673562519,0.2824420814075325
10,0.49019266685683144,0.18976209283135095,0.3200452403118174
11,0.44059162227103615,0.19914971524167485,0.36025866248728894
12,0.39840098750804925,0.1964093255367572,0.405189686955194
13,0.3573894699371753,0.19044253487411997,0.4521679951887047
14,0.30144572346827303,0.2219802855100355,0.47657399102169185
15,0.2862405848507856,0.23214953022589951,0.48160988492331436
16,0.27146030419897543,0.24246788457580784,0.4860718112252165
17,0.25712626187120846,0.2529196218745917,0.48995411625419966
18,0.24325369927499488,0.26349107973511204,0.4932552209898931
19,0.22985801381880913,0.2741662195946551,0.49597576658653547
20,0.2169486101115759,0.28493144913239227,0.49811994075603233
21,0.20667537759015794,0.2953978782297239,0.4979267441801178
22,0.20400439789794092,0.3051626942349552,0.49083290786710376
23,0.20147656506625017,0.31513101426177414,0.4833924206719753
24,0.19888573434760562,0.3252658993448982,0.47584836630749594
25,0.19623369000471796,0.3355638824367907,0.4682024275584912
26,0.1935214414779396,0.34602529663031917,0.46045326189174113
27,0.1907430283292302,0.35671178958105065,0.4525451820897187
28,0.18790441209980369,0.36757782560130436,0.44451776229889206
29,0.18501305583693947,0.3785747188008099,0.4364122253622508
30,0.1837474301511143,0.38763510269538454,0.4286174671535016
31,0.230921026894046,0.3292567863912958,0.43982218671465834
32,0.28909741268933614,0.2687959883341044,0.4421065989765596
33,0.35723928726826076,0.21105206717365912,0.43170864555808025
34,0.43116098283628584,0.15984077918554523,0.40899823797816903
35,0.5002912706939726,0.12015115258240065,0.37955757672362667
36,0.5679301032094001,0.0879601574721674,0.3441097393184324
37,0.6337035213029428,0.06230414633847198,0.3039923323585852
38,0.6875905026726962,0.04484356405967483,0.26756593326762906
39,0.7384503440486933,0.031264947110871584,0.23028470884043523
40,0.7806383531820549,0.021917006045399912,0.19744464077254523
41,0.8171235898925729,0.015218472653782743,0.16765793745364427
42,0.8518557394245742,0.010049567763486653,0.13809469281193906
43,0.8777192462791531,0.00686749490384242,0.11541325881700448
44,0.8993636490672637,0.004670539421339963,0.09596581151139623
45,0.918672605787846,0.0030792991960366892,0.07824809501611729
46,0.9334422859524413,0.0020747125015426115,0.0644830015460161
47,0.945622151558733,0.0013938276943174079,0.05298402074694965
48,0.9556212942832407,0.0009346565171016495,0.04344404919965767
49,0.9643140923954345,0.0006096818070622287,0.035076225797503205
50,0.9709501814788615,0.0004070100931073519,0.028642808428031102
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
