TrackPos,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3
0,,0.4360998109395575,0.5639001890604404
1,,0.4360998109395575,0.5639001890604404
2,,0.4360998109395575,0.5639001890604404
3,,0.4360998109395575,0.5639001890604404
4,0.3638509098264817,0.27742449795404384,0.3587245922194753
5,0.3638509098264817,0.27742449795404384,0.3587245922194753
6,0.3638509098264817,0.27742449795404384,0.3587245922194753
7,0.3638509098264817,0.27742449795404384,0.3587245922194753
8,0.3638509098264817,0.27742449795404384,0.3587245922194753
9,0.3638509098264817,0.27742449795404384,0.3587245922194753
10,0.3638509098264817,0.27742449795404384,0.3587245922194753
11,0.3638509098264817,0.27742449795404384,0.3587245922194753
12,0.3638509098264817,0.27742449795404384,0.3587245922194753
13,0.3638509098264817,0.27742449795404384,0.3587245922194753
14,0.3638509098264817,0.27742449795404384,0.3587245922194753
15,0.3638509098264817,0.27742449795404384,0.3587245922194753
16,0.3638509098264817,0.27742449795404384,0.3587245922194753
17,0.3638509098264817,0.27742449795404384,0.3587245922194753
18,0.3638509098264817,0.27742449795404384,0.3587245922194753
19,0.3638509098264817,0.27742449795404384,0.3587245922194753
20,0.3638509098264817,0.27742449795404384,0.3587245922194753
21,0.3638509098264817,0.27742449795404384,0.3587245922194753
22,0.3638509098264817,0.27742449795404384,0.3587245922194753
23,0.3638509098264817,0.27742449795404384,0.3587245922194753
24,0.3638509098264817,0.27742449795404384,0.3587245922194753
25,0.3638509098264817,0.27742449795404384,0.3587245922194753
26,0.3638509098264817,0.27742449795404384,0.3587245922194753
27,0.3638509098264817,0.27742449795404384,0.3587245922194753
28,0.3638509098264817,0.27742449795404384,0.3587245922194753
29,0.3638509098264817,0.27742449795404384,0.35872459221947517
30,0.3638509098264817,0.27742449795404384,0.3587245922194749
31,0.36385090982648166,0.2774244979540438,0.3587245922194749
32,0.3638509098264813,0.2774244979540433,0.3587245922194765
33,0.3638509098264803,0.2774244979540424,0.35872459221947695
34,0.36385090982648044,0.27742449795404245,0.35872459221947695
35,0.3638509098264805,0.2774244979540425,0.358724592219477
36,0.3638509098264805,0.27742449795404256,0.358724592219477
37,0.36385090982648044,0.27742449795404256,0.358724592219477
38,0.36385090982648044,0.27742449795404256,0.358724592219477
39,0.36385090982648044,0.27742449795404256,0.358724592219477
40,0.36385090982648044,0.27742449795404256,0.358724592219477
41,0.36385090982648044,0.27742449795404256,0.358724592219477
42,0.36385090982648044,0.27742449795404256,0.358724592219477
43,0.36385090982648044,0.27742449795404256,0.358724592219477
44,0.36385090982648044,0.27742449795404256,0.358724592219477
45,0.36385090982648044,0.27742449795404256,0.358724592219477
46,0.36385090982648044,0.27742449795404256,0.358724592219477
47,0.36385090982648044,0.27742449795404256,0.358724592219477
48,0.36385090982648044,0.27742449795404256,0.358724592219477
49,0.36385090982648044,0.27742449795404256,0.358724592219477
50,0.36385090982648044,0.27742449795404256,0.358724592219477
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
