Expert names,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,SMAPE Weighting Ensemble
MLP_16_16_16,0.22295952222959523,0.03858185610010428,0.07251872215375865,0.0667361835245047
LSTM_1024_16,0.03858185610010428,0.12108368652871271,0.060915814842516416,0.08443447186902685
KF_CA_sw18E3,0.07251872215375865,0.060915814842516416,0.1770132136624283,0.0945732568769218
SMAPE Weighting Ensemble,0.0667361835245047,0.08443447186902685,0.0945732568769218,0.1397822654367157
