TrackPos,LSTM_1024_16,MLP_16_16_16,KF_CA_sw18E3
0,0.09080515062649996,,0.9091948493734995
1,0.020168994651127065,,0.9798310053488735
2,0.02764525174938522,,0.9723547482506149
3,0.042910709401067934,,0.9570892905989336
4,0.052037498423926264,0.1751198804203344,0.7728426211557394
5,0.08042176771356002,0.14496830172891664,0.7746099305575237
6,0.12352474778442762,0.13811037983343716,0.7383648723821356
7,0.14541345756428237,0.145018126530874,0.7095684159048433
8,0.14874919313942292,0.15373094609616908,0.6975198607644086
9,0.15069505698644314,0.15937612402601947,0.6899288189875367
10,0.15772950696938157,0.16177829896894824,0.6804921940616698
11,0.16883341928939832,0.16350361501110924,0.6676629656994925
12,0.18391767508779078,0.16305692796285048,0.653025396949359
13,0.20285120838272083,0.1605359393075767,0.6366128523097027
14,0.2248328348913735,0.15618706433547558,0.6189801007731519
15,0.2432700083128483,0.15144629964636824,0.6052836920407841
16,0.2581242767608376,0.14715339154558907,0.5947223316935734
17,0.2723988779631298,0.1425955577354246,0.5850055643014451
18,0.2867595833053694,0.13865889349857224,0.5745815231960583
19,0.30159067785804256,0.13434702142639932,0.5640623007155582
20,0.31270464485161764,0.13485048650143902,0.5524448686469434
21,0.325074064900987,0.1340897017913082,0.5408362333077048
22,0.3159467828052598,0.14585820936350652,0.5381950078312338
23,,,
24,,,
25,,,
26,,,
