MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,Simple Ensemble
3.57472861789476e-08,4.9681483578733e-08,2.914879322488365e-08,2.9225144816639355e-08
7.610473856623023e-08,1.394194677676557e-07,6.516000615702685e-08,6.776247619910015e-08
1.4383875576260758e-08,1.7829617368148585e-08,1.1482337262842173e-08,1.1586559351273497e-08
1.6854218126607626e-07,3.2175340990339765e-07,1.4564437368897647e-07,1.5201450609380753e-07
3.8526847961282263e-13,7.119622894538567e-13,1.4586947681182936e-12,4.4221752977200626e-13
