nan,nan,nan,nan,nan,nan,nan,3.117444862320452163e-04,1.654831899325175906e-04,1.326060928633264956e-04,1.067711560402305259e-04,1.051424894414776124e-04,1.034248208313686730e-04,9.877117659177475227e-05,9.862458962875963206e-05
nan,nan,nan,nan,nan,nan,nan,3.123690760916543029e-04,1.806187191617593434e-04,1.349814850079043903e-04,1.057261052808880627e-04,1.050019365173035599e-04,1.033995213438458242e-04,9.815153720385987642e-05,1.003622976464163427e-04
nan,nan,nan,nan,nan,nan,nan,3.405563582413409941e-04,1.699793143978156227e-04,1.070156824795295597e-04,9.649626866531127683e-05,8.427915294432843682e-05,8.884158985597528739e-05,9.948923393947854297e-05,9.678318122783911663e-05
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
