MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,Simple Ensemble
2.924265949307228e-08,5.0997793825891066e-08,3.649344268599135e-08,2.8042761436818198e-08
6.169626753047813e-08,1.6529286912388328e-07,8.266373743734911e-08,6.405468346920095e-08
1.2033111181839276e-08,1.780088229977696e-08,1.3983809359065943e-08,1.1385575740700691e-08
1.3610567138028024e-07,3.8630664698544637e-07,1.8566123166862378e-07,1.4288586733727176e-07
5.2250775562640736e-12,1.2382137614998248e-13,1.4168137757383595e-12,6.52757718522413e-12
