MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,ME weighting
3.57472861789476e-08,4.9681483578733e-08,2.914879322488365e-08,2.4712458393593576e-08
7.610473856623023e-08,1.394194677676557e-07,6.516000615702685e-08,5.544123082637192e-08
1.4383875576260758e-08,1.7829617368148585e-08,1.1482337262842173e-08,1.0023491447672043e-08
1.6854218126607626e-07,3.2175340990339765e-07,1.4564437368897647e-07,1.2355321271684168e-07
3.8526847961282263e-13,7.119622894538567e-13,1.4586947681182936e-12,9.464028944887942e-13
