TrackPos,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3
0,,0.013874243296753018,0.9861257567032476
1,,0.07617075904559922,0.9238292409544006
2,,0.21411525989817026,0.7858847401018297
3,,0.3215795290222255,0.6784204709777751
4,0.43863761621847036,0.007606467306295154,0.5537559164752347
5,0.38842573458821444,0.005193561402924368,0.6063807040088618
6,0.3912842446587621,0.009204791692567247,0.599510963648671
7,0.3945360518339231,0.01624325820582509,0.5892206899602522
8,0.399438348358185,0.02858020747636313,0.571981444165453
9,0.3824191603486364,0.054745142628152575,0.5628356970232108
10,0.35119321335857073,0.1278879331673632,0.5209188534740666
11,0.25989146781172706,0.18643168680793146,0.5536768453803418
12,0.12117123434890144,0.21946182939744796,0.6593669362536505
13,0.02278646897423871,0.2201921361914058,0.7570213948343563
14,0.012503787888240933,0.22189710997140644,0.765599102140353
15,0.01412796116941679,0.23692218450302946,0.7489498543275541
16,0.016055011487702085,0.2534216329996454,0.7305233555126521
17,0.018243352331479067,0.2706442996945804,0.7111123479739406
18,0.020687646308785425,0.2884560092782784,0.6908563444129361
19,0.02340874352607977,0.3067906412153781,0.6698006152585423
20,0.02642827733998775,0.32557403602708873,0.6479976866329235
21,0.029774370023113533,0.34419131917372775,0.6260343108031583
22,0.03380790784330289,0.3528033001388758,0.6133887920178215
23,0.0388940443761108,0.3542610272471906,0.6068449283766982
24,0.04487752099540238,0.35460397334205296,0.600518505662545
25,0.05172739650676721,0.35459726452682433,0.5936753389664082
26,0.05954197777644326,0.35418795383928464,0.5862700683842724
27,0.0674323187238819,0.35259323729916225,0.5799744439769561
28,0.07549444541899147,0.3501125261651033,0.5743930284159054
29,0.0844267284037049,0.3472916323182785,0.5682816392780161
30,0.09431327579101556,0.34409780437523896,0.5615889198337447
31,0.10521988053426776,0.3405074194402137,0.5542727000255185
32,0.11749671878869421,0.33640520729723555,0.5460980739140704
33,0.13256617954506,0.33120214343646104,0.5362316770184788
34,0.1494660891833895,0.325077276390573,0.5254566344260375
35,0.16947547884238617,0.31771218865722434,0.5128123325003895
36,0.19037552580487296,0.309971966761091,0.49965250743403605
37,0.21103748562569413,0.30226864413005045,0.48669387024425537
38,0.23329764051833699,0.2939418987646735,0.47276046071698946
39,0.25145713310281975,0.2867180737336497,0.4618247931635306
40,0.26502577672915395,0.2804080203632494,0.45456620290759675
41,0.27625769199499695,0.27522222523478734,0.4485200827702157
42,0.285468026872391,0.2708634467577252,0.4436685263698839
43,0.2976847028150527,0.2651110936099413,0.4372042035750061
44,0.3102438888504619,0.259268504288525,0.43048760686101323
45,0.3229903914959621,0.2534056717154077,0.4236039367886302
46,0.33603855418779216,0.24746764295884202,0.4164938028533658
47,,,
48,,,
