Expert names,MLP_16_16_16,LSTM_1024_16,KF_CA_sw18E3,Simple Ensemble
MLP_16_16_16,1.0,0.5058285897133528,0.6517780608919381,0.8554477436822148
LSTM_1024_16,0.5058285897133528,1.0,0.23020528822019287,0.8145897884834479
KF_CA_sw18E3,0.6517780608919381,0.23020528822019287,0.9999999999999999,0.7018749779722657
Simple Ensemble,0.8554477436822148,0.8145897884834479,0.7018749779722657,1.0
