FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y
3061.0000,10.0000,790.8802,1412.6175,118.3372,1371.4684,655.4328,1315.2585,151.4635,1249.8491,1047.1194,986.7193,439.0091,868.1864,143.9670,679.3311,1613.2186,497.4568,684.1580,464.0553,996.6692,299.4205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3062.0000,10.0000,791.8969,1491.3085,120.1595,1450.2713,654.7447,1393.2981,151.8993,1328.9175,1048.9275,1065.5798,435.7241,948.3982,144.2088,758.4028,1613.7144,579.6320,684.0604,544.2979,994.6899,379.8104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3063.0000,10.0000,793.5026,1569.3219,122.1885,1528.3584,654.0123,1470.4480,151.8820,1407.2234,1051.0824,1143.8789,433.0316,1027.3243,144.1679,838.1662,1613.6908,660.7575,684.0731,623.9019,992.9700,459.1457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3064.0000,9.0000,124.1771,1600.5113,653.2275,1548.1833,152.7420,1483.8259,1053.4074,1222.2423,430.5659,1107.5983,144.8572,917.3778,1613.9699,742.1158,684.3549,703.4693,990.8212,538.9463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3065.0000,8.0000,652.7858,1624.0624,154.4244,1556.1367,1055.6029,1298.8991,428.1404,1186.7736,145.9549,995.7795,1613.9868,822.7171,684.6488,782.4583,988.6899,618.0081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3066.0000,8.0000,159.3683,1626.5397,1058.4682,1376.8725,426.3656,1266.6632,146.6486,1075.8151,1614.4192,904.1961,684.8322,862.8704,986.4252,698.7386,1806.7053,92.5563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3067.0000,7.0000,1061.1677,1453.4098,424.9016,1347.2312,146.6224,1154.7528,1613.9167,984.4569,684.5276,942.3238,984.2506,779.1701,1807.0918,170.0931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3068.0000,8.0000,1064.4734,1530.6514,423.6316,1427.7410,147.4696,1234.5934,1614.7374,1065.7075,684.7135,1022.5862,981.2929,859.5253,1806.7494,248.9695,1409.7097,114.0467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3069.0000,8.0000,1067.9906,1607.1434,422.1809,1505.8703,148.3714,1312.6572,1614.5166,1144.9693,684.9716,1101.5309,979.0346,938.5246,1807.5914,326.7595,1408.5624,191.0873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3070.0000,7.0000,421.9564,1583.2431,149.2395,1392.0039,1614.3313,1225.2607,685.9037,1181.0497,976.1746,1018.8100,1808.2490,406.3809,1407.2819,269.8878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
