FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y
11.0000,10.0000,152.0025,1632.3295,610.6788,1490.7186,1825.0772,1412.9314,1378.7686,1359.8206,825.3342,1041.2021,174.3788,585.8319,526.6701,397.6670,1493.1117,339.1239,1267.5566,254.4703,1772.1302,197.7761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,10.0000,647.7901,1598.0807,577.0665,1546.2536,1823.8703,1492.7178,1378.2960,1438.2818,826.1681,1121.5631,174.8285,666.2049,526.2405,478.1408,1493.7536,419.7084,1268.0756,334.7759,1772.5232,277.7907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,10.0000,578.3209,1621.3754,1825.9244,1570.4707,1378.6254,1514.9870,826.8473,1200.9348,174.8737,745.1241,526.4478,557.1121,1493.9850,498.9992,1268.8019,413.7531,1772.8027,357.1004,1320.9796,65.1843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,10.0000,1824.7853,1648.7365,1378.6242,1591.1977,827.1930,1281.4088,175.4000,825.7112,526.4779,637.7879,1494.0795,579.9126,1269.5272,494.5315,1773.4666,437.3965,1321.6209,145.3624,1824.1012,158.1184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,10.0000,1378.8746,1666.5645,827.8957,1360.2967,175.5386,905.2032,526.7578,717.1247,1494.0832,659.1406,1270.0236,573.5135,1774.1304,516.0906,1321.7894,224.1992,1824.3315,237.3062,1460.3663,64.5063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,9.0000,828.2649,1439.4989,175.4137,985.1058,526.9948,796.8479,1494.0243,738.9989,1270.5603,653.2259,1774.6448,595.4816,1321.5361,303.8963,1824.5848,316.0263,1460.3887,143.2109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,9.0000,828.9654,1517.4537,175.6456,1063.8577,526.9015,874.8199,1493.9615,817.8557,1271.2173,731.9385,1775.6508,674.5176,1321.9632,383.2396,1825.1754,394.1119,1461.2679,221.6275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,10.0000,829.8665,1596.6108,175.8052,1143.8443,526.8872,954.8893,1493.9329,898.1235,1271.8290,811.9784,1776.3298,754.0687,1321.9038,463.7776,1825.5157,473.7083,1461.7350,300.7442,1751.6107,30.1882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,12.0000,176.2294,1223.1125,527.4365,1033.9954,1494.0434,977.4278,1272.0458,891.3175,1776.7533,833.5489,1812.5864,612.8888,1321.8986,544.0059,1839.2929,491.2858,1462.4234,379.3423,1751.8527,111.5004,142.6005,154.2183,501.7253,93.6784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,13.0000,176.7446,1302.7108,527.5971,1113.7916,1494.2213,1057.1745,1272.5373,971.1131,1777.3926,913.6353,1812.7023,693.1180,1321.8014,624.8857,1839.9456,571.1640,1463.2345,458.2252,1752.4078,193.0770,142.1096,233.2034,500.8545,172.1885,1021.0908,66.9691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,12.0000,177.1195,1381.7451,528.3974,1193.1047,1494.6883,1137.0582,1273.0100,1050.9589,1778.2754,993.3597,1322.0508,705.3067,1826.7614,712.3073,1464.2488,537.0867,1752.4531,274.1322,141.9695,312.2156,499.5237,250.9994,1020.5835,146.9570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,13.0000,178.1219,1461.0868,528.7613,1273.0056,1494.9653,1217.0383,1273.3894,1131.2357,1778.7560,1073.9441,1813.2154,853.4869,1322.2439,785.6293,1840.6895,731.1054,1465.3371,616.5221,1753.1623,355.6965,141.7438,392.2375,498.2245,330.3536,1019.8360,227.7676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,15.0000,179.7045,1539.0651,529.6965,1352.6775,1495.2350,1296.5363,1273.2330,1210.7439,1779.3923,1153.4877,1813.3480,933.2536,1322.1795,864.8909,1841.0853,810.6119,1466.4105,695.3451,1753.4411,436.3290,141.7032,471.5768,496.7010,409.5218,1018.9642,307.6095,1987.3866,109.6334,1121.3957,145.9748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,16.0000,181.5789,1617.2476,530.1902,1431.6257,1495.5915,1376.4634,1273.2627,1290.2979,1780.1706,1232.7939,1813.3977,1012.7097,1323.1171,944.1706,1841.6708,890.1048,1467.1294,773.9068,1753.6167,517.0761,141.6508,550.8182,495.2281,488.8679,1017.8555,387.6901,1980.9161,188.6881,1121.8092,224.7722,1293.6021,76.2109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,15.0000,531.2392,1510.8469,1495.6496,1454.7022,1273.3439,1369.3241,1780.2484,1312.2473,1812.9155,1091.5318,1323.5537,1022.7773,1841.5951,969.3628,1468.3364,852.1396,1754.1898,597.8564,142.0351,629.4074,493.9461,567.5033,1016.7595,467.5376,1973.7934,268.5479,1121.7782,303.8462,1294.1185,155.2906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,15.0000,531.6051,1588.2349,1496.0838,1533.8544,1273.1746,1447.4654,1780.6454,1391.0963,1812.6584,1170.9845,1323.8263,1102.0071,1841.4875,1048.2701,1469.1488,930.1778,1754.5507,678.5217,142.0537,708.4015,493.3818,646.7631,1015.9669,547.9556,1967.3246,347.5051,1122.0944,383.0904,1294.9338,234.4567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,15.0000,510.2441,1633.6854,1496.2045,1612.0648,1273.0464,1525.6361,1781.0811,1469.7756,1812.1605,1249.4042,1324.3896,1181.3514,1841.7707,1126.5770,1470.1163,1008.4259,1754.5884,758.6730,142.1963,787.3607,492.9314,725.2280,1014.7200,627.3166,1960.9452,426.3622,1122.7304,461.3864,1295.8182,313.5125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,14.0000,1273.3724,1602.8714,1781.2099,1547.4755,1811.2957,1327.3486,1324.1837,1259.7946,1841.9601,1204.1752,1471.2224,1086.1362,1754.8318,838.2571,142.3568,864.8565,493.0661,802.9293,1013.6982,706.8384,1954.4234,504.7111,1123.1251,540.0502,1296.6365,392.3707,1732.2518,109.3617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,14.0000,1780.7366,1623.1959,1810.3275,1405.5706,1323.5861,1338.2777,1841.5810,1282.7103,1471.7408,1164.2006,1754.6606,918.5425,142.6974,943.3373,493.2404,881.7493,1012.5207,786.3804,1946.8742,584.3081,1123.4190,618.8086,1297.8724,471.6768,1732.0191,188.8441,1715.4075,95.3175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,13.0000,1809.2115,1483.6273,1324.1019,1415.9464,1841.3956,1360.1468,1472.2487,1241.5356,1754.2517,998.0343,143.0129,1021.6028,493.6036,960.2147,1011.6628,865.5616,1940.0906,663.0342,1124.1404,696.3424,1298.8018,550.8563,1731.3394,266.9807,1713.9605,174.8981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,13.0000,1808.5400,1562.6937,1324.7710,1493.6156,1841.1479,1438.1141,1473.0299,1319.3695,1754.3169,1078.0858,143.1775,1100.0652,494.2379,1039.2090,1010.7351,944.9356,1932.8314,742.6021,1124.0410,776.5073,1299.7589,630.6472,1731.2390,346.5189,1712.9938,255.1182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,15.0000,1324.8215,1569.8344,1840.8682,1513.4153,1473.9592,1396.1018,1754.4217,1157.4964,143.9789,1178.2734,495.1175,1117.6457,1010.0249,1024.1691,1925.2505,821.6006,1124.4787,853.9452,1300.3425,709.8925,1730.8571,425.8928,1711.7956,334.6954,1548.1262,139.1936,402.7641,92.9002,1826.3125,52.9558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,15.0000,1325.8252,1647.3909,1838.7905,1590.2590,1475.2772,1474.0314,1754.3185,1237.6491,144.6484,1256.7581,496.0532,1196.8320,1009.1888,1103.9765,1918.2566,900.7278,1124.5867,933.6179,1300.8710,789.9110,1729.6180,505.8990,1710.5995,415.4830,1548.7011,218.2226,400.2620,171.8530,1825.3013,128.9891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,14.0000,1475.7970,1550.3214,1753.8303,1317.2660,145.3088,1335.4228,497.1138,1275.6531,1008.8488,1183.5882,1911.0893,980.0936,1124.7063,1013.0937,1300.9320,869.0587,1729.6031,586.3437,1709.7684,495.8296,1549.0798,297.4868,397.9854,249.7040,1823.5398,204.3763,1525.7479,129.5130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,15.0000,1477.0579,1627.6564,1753.8967,1397.6282,145.8022,1414.2041,498.2954,1355.5770,1008.0226,1263.6551,1903.0905,1060.2038,1125.0484,1093.0152,1300.8132,948.6099,1728.6768,667.6471,1709.0067,576.9397,1549.8381,376.8560,395.5064,328.2824,1823.1401,281.0733,1526.1588,208.6659,1021.2051,46.2277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,15.0000,1753.5602,1476.2314,147.8120,1492.4919,499.8840,1433.5999,1007.4451,1342.9372,1895.4359,1139.1008,1125.5359,1171.4942,1301.0926,1026.8652,1728.2112,747.5120,1708.2921,656.4495,1551.0295,455.4048,393.0056,406.2980,1822.6674,357.2080,1526.7436,286.7694,1022.4639,122.5887,848.7263,79.4603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,16.0000,1753.0276,1554.8369,153.9217,1562.9213,501.2770,1513.1539,1006.6661,1422.9103,1887.7227,1218.4201,1125.6018,1251.8088,1300.8297,1106.3984,1727.2607,828.7921,1708.1973,737.4763,1551.7811,535.5969,389.6895,485.2564,1821.8665,435.1982,1527.0220,366.5170,1023.1446,200.0133,845.0244,161.0907,1412.3904,111.8182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,16.0000,1752.1041,1632.7943,502.8131,1591.7001,1006.6185,1501.3204,1880.0959,1296.1275,1125.9534,1329.7445,1300.4893,1184.5153,1726.0496,908.6242,1706.9988,816.7305,1552.9359,614.3439,387.3172,563.2127,1821.8483,511.8145,1527.4166,444.6881,1023.7867,275.8694,841.0857,241.5757,1412.8321,189.8457,425.4685,71.7848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,14.0000,1006.8917,1579.9986,1872.1446,1375.3332,1126.5848,1409.3298,1300.7391,1262.9524,1724.7926,989.0556,1706.3702,897.2608,1554.6062,693.3701,384.8917,641.9541,1821.4828,589.9728,1527.9744,523.9469,1024.4529,352.8252,836.5492,321.9045,1413.0882,268.4474,425.1765,150.9218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,13.0000,1865.4476,1452.4805,1127.4758,1486.9166,1300.3256,1341.0797,1723.5647,1068.2066,1706.0420,976.2815,1556.3306,772.0090,382.6248,718.8514,1821.6767,667.0645,1528.3376,601.8956,1025.1913,429.3118,832.9652,402.5043,1413.5071,346.1834,425.2734,227.9331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,13.0000,1857.8754,1531.9756,1128.1958,1564.9812,1300.4117,1419.4890,1722.6005,1148.8618,1705.6988,1056.5207,1557.8160,852.2761,380.3578,797.9317,1821.2988,745.3549,1528.6023,681.3281,1026.0379,507.0170,828.8550,484.5040,1414.0021,425.8332,425.5769,306.8547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,12.0000,1849.7542,1609.3027,1300.2886,1496.5331,1721.1780,1227.8463,1705.4190,1135.0143,1559.3312,930.9210,377.9616,875.4702,1820.7852,822.3866,1529.0981,759.7161,1026.6019,583.8239,825.0265,565.4286,1414.4277,503.9107,425.5756,384.6684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,12.0000,1299.9689,1574.4977,1719.5568,1308.0403,1704.7727,1214.0363,1561.1781,1010.8552,375.4858,955.3712,1820.2557,900.4005,1529.2809,838.6163,1027.4664,661.6501,821.5787,646.8706,1414.7182,582.9976,425.7670,464.0708,896.1280,88.1841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,13.0000,1719.0621,1388.1839,1704.6016,1291.9723,1563.0855,1089.7981,373.4598,1032.7740,1819.3667,977.2415,1529.7943,917.1821,1028.4829,738.6085,818.2739,727.5771,1415.1542,661.5508,426.0738,541.8770,896.4833,165.9956,819.8009,137.1483,665.2030,86.0133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,14.0000,1717.0587,1468.4946,1705.0434,1371.2870,1564.9200,1170.3000,371.5423,1111.6610,1818.6575,1054.8710,1529.9839,996.7979,1029.3681,816.6981,815.0358,809.5654,1415.2383,741.2610,426.1882,621.2507,896.6476,245.0129,819.2662,216.5871,662.5291,166.3591,520.0656,52.8635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,14.0000,1716.1251,1548.2489,1704.5642,1448.7421,1566.7565,1249.3476,369.7786,1189.7457,1817.6553,1131.6035,1530.3512,1075.7478,1030.1969,893.6303,811.8379,889.7524,1415.5077,820.7001,426.4219,700.1155,897.8431,323.6447,818.2597,294.9700,659.8095,246.1880,519.6027,128.9533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,14.0000,1713.9705,1626.8559,1705.5330,1527.1002,1568.2178,1328.8216,368.4425,1268.8419,1816.6548,1208.4768,1530.6819,1155.1695,1030.7139,971.3932,809.4002,972.0303,1415.6486,899.6754,426.5959,779.2789,898.8051,402.0517,817.4984,374.4955,657.9990,327.0334,519.4181,205.8387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,13.0000,1706.2666,1604.4068,1570.1235,1407.5098,366.9254,1346.4181,1815.3368,1285.0872,1530.7352,1233.9045,1031.7756,1049.1110,806.3068,1052.3770,1416.0851,979.0177,426.9460,858.2997,900.0964,480.8704,816.4899,452.4104,655.6964,407.3889,519.2597,282.8449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,12.0000,1571.2413,1486.9663,365.5802,1425.3370,1813.6293,1361.6448,1530.6162,1313.2543,1032.1713,1127.5409,803.3382,1133.8392,1416.1657,1058.8185,427.2647,938.2641,901.1149,560.1337,815.6003,532.3276,653.4343,488.7410,518.8899,361.1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,12.0000,1571.9186,1565.8370,364.7021,1503.2398,1812.1170,1436.8009,1530.7334,1392.2224,1033.1264,1205.3090,801.2596,1214.3804,1416.3684,1137.7732,428.0450,1017.1498,902.0857,639.1175,814.8056,611.7009,651.5676,570.0010,518.9055,438.5071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,11.0000,364.8830,1579.8128,1810.0107,1512.6647,1531.0241,1469.8045,1033.2781,1283.0669,799.3059,1294.7460,1416.4887,1217.1438,428.1951,1096.3429,903.0909,717.9651,814.2222,690.2483,649.5190,650.5713,518.7865,516.4519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
