FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y
18.0000,8.0000,909.0989,1580.2731,512.5691,1441.5997,180.2312,1043.5443,1083.8891,973.1492,1036.7385,682.4861,1669.7379,648.4279,645.7934,504.5176,1154.0774,481.1582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,8.0000,908.0178,1659.6686,511.0790,1522.5229,181.5907,1123.5838,1083.1191,1053.2716,1039.4744,763.8176,1669.3410,729.6994,646.3680,583.0160,1153.6212,561.5327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,7.0000,510.3922,1601.0947,182.9287,1202.7757,1082.4574,1133.0839,1042.0061,844.6587,1669.1690,810.1233,647.2121,661.0195,1153.7309,642.0650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,6.0000,184.3799,1282.8128,1081.9701,1212.8282,1044.4120,925.6041,1669.1893,890.7692,648.0144,739.4984,1154.2818,722.4563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,6.0000,185.5673,1361.0841,1081.0771,1292.0161,1046.3330,1005.8931,1669.1045,970.9407,648.9902,817.4072,1154.9396,801.7823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,6.0000,187.3807,1437.6807,1080.6299,1370.6508,1048.3040,1085.9011,1668.5337,1050.8601,650.0565,895.9807,1155.8167,881.9354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,6.0000,189.2279,1515.5755,1080.5747,1448.7771,1050.2474,1165.0782,1668.1163,1130.0732,650.4214,973.5755,1156.7416,960.4593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,7.0000,191.8086,1577.7115,1080.1129,1527.5982,1051.4874,1244.5546,1667.4815,1209.9618,651.3484,1051.9462,1157.3003,1039.4934,1498.7235,108.6223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,6.0000,1080.1495,1605.5252,1052.8961,1322.8735,1666.1795,1288.1498,651.5406,1129.3919,1158.1220,1117.7378,1499.2862,184.8009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,5.0000,1053.8717,1401.3281,1664.6802,1367.4872,652.1125,1207.7277,1158.5970,1196.1123,1500.2454,261.7258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
