FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y
0.0000,13.0000,777.7796,1512.4599,1142.8160,1235.6872,772.6301,1118.1690,854.0724,1013.8331,922.0186,895.7964,898.4551,783.0356,409.3795,776.0921,308.2794,661.6305,782.3113,653.0507,1701.6587,615.5163,1572.7662,481.4210,1846.9374,394.6080,746.7155,145.0713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,13.0000,779.2017,1591.0141,1142.5315,1314.2375,773.5595,1195.8223,852.1096,1092.7516,921.6521,974.2690,898.9675,862.3833,408.7017,854.4391,309.7694,740.0690,781.4446,730.3237,1700.7932,694.2114,1574.9702,560.0569,1847.7772,471.2394,745.6844,227.7709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,13.0000,1142.3625,1391.6141,774.5183,1272.2156,850.1768,1170.4745,920.8960,1052.7716,898.9994,940.5990,408.7975,933.2371,311.1063,817.4396,780.3726,807.2722,1699.9475,771.8731,1576.7240,638.0237,1848.7015,547.1401,745.0816,309.4285,1801.9927,65.7109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,13.0000,1141.9791,1470.9389,775.6384,1349.8970,848.1286,1249.6356,920.4566,1132.4065,899.4736,1019.8134,408.4759,1012.6793,312.7731,895.3413,779.0601,885.6466,1698.5185,851.2241,1578.1625,717.2559,1848.7562,624.2442,744.4314,392.1580,1802.5165,144.8174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,14.0000,1141.4104,1549.2241,776.3431,1426.1937,846.5092,1328.5162,920.4486,1210.5385,899.4614,1098.1720,408.7196,1091.5215,314.6893,973.2882,778.2186,963.2295,1697.1431,929.9769,1579.2706,796.4006,1849.7809,700.6536,743.8583,473.6982,1803.0059,223.1194,1797.9542,93.4747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,14.0000,1140.9593,1628.6645,777.8785,1502.8106,844.7696,1408.2588,920.3381,1290.4625,899.9703,1177.1199,409.1353,1170.6837,316.9340,1051.4719,777.0803,1041.9396,1696.0257,1009.6001,1580.2389,876.1779,1849.9960,777.9150,743.3694,556.1185,1803.7685,302.9790,1797.4014,172.7885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,16.0000,780.3493,1577.9721,843.7555,1486.4925,920.5783,1369.3372,901.0094,1255.1105,410.3760,1250.1913,319.2813,1128.6403,776.5318,1119.9425,1694.6624,1087.9885,1581.2311,955.5812,1850.6248,854.4929,743.2455,637.9209,1803.9524,381.3860,1796.6118,251.3880,1276.0067,128.1593,233.3731,123.0882,838.6694,123.2240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,16.0000,783.1265,1653.9179,842.4026,1566.6630,920.5408,1449.2974,901.0740,1334.5085,410.9965,1330.4204,321.7363,1207.3925,775.4965,1199.6230,1693.1656,1167.9039,1581.8621,1036.5222,1850.9943,932.9540,742.4710,721.0879,1804.7478,462.5434,1795.7288,332.2674,1277.0963,209.7768,233.8055,202.7419,837.1632,203.2449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,16.0000,920.8088,1527.8547,901.1896,1412.4022,412.1543,1409.5264,323.8196,1284.0505,774.5199,1277.6331,1691.3542,1246.5387,1582.4746,1115.0373,1851.4916,1009.8747,742.1519,802.7811,1805.1452,541.3026,1794.6991,411.4983,1278.0698,289.8065,234.3931,281.3275,836.2457,282.0025,1888.8182,97.8083,318.9758,108.8100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,17.0000,920.9682,1607.9102,903.0502,1490.8101,413.5442,1489.0423,326.7765,1362.0145,773.9613,1356.7428,1689.4337,1325.1385,1583.0053,1194.8596,1851.4837,1088.1092,741.9736,885.4893,1805.3540,621.4836,1793.9354,490.0783,1279.4037,370.5273,235.0991,360.8521,835.2584,361.7105,1889.2658,175.4430,320.2323,187.0576,2041.4267,62.9294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
