FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
18.0000,7.0000,1528.6381,1614.3333,820.6738,1504.6064,462.2662,1352.1874,669.8506,956.9019,2027.0994,821.1719,723.4235,616.3957,1258.3687,265.6923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,6.0000,822.2700,1584.9011,459.6167,1433.8817,669.0330,1038.3109,2021.6116,905.0073,723.8934,696.0263,1254.2813,347.2454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,6.0000,457.1940,1513.9284,668.2822,1118.5432,2016.2782,986.7081,725.0572,774.9336,1250.9690,427.9528,752.0034,95.8422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,6.0000,455.0376,1593.7489,668.3239,1199.5806,2011.1908,1069.4578,726.5285,854.4128,1247.9120,508.7886,752.0736,171.6513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,7.0000,667.6046,1279.7287,2005.7439,1151.2177,728.3626,933.5591,1244.6364,590.0075,751.2009,247.6741,733.4913,53.5157,1450.1393,77.7259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,8.0000,667.4174,1360.6872,2001.3476,1234.7796,729.6777,1012.5894,1241.6416,671.1700,750.5234,324.4304,733.0589,129.3755,1451.3786,157.8086,1603.4367,44.9264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,8.0000,667.0306,1440.3961,1996.2626,1317.5644,730.9866,1091.1638,1238.9312,751.7000,749.6262,400.4178,732.2358,204.5739,1452.4039,236.0487,1604.2472,126.5503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,8.0000,666.9489,1521.0040,1990.6918,1399.5635,732.2175,1169.9227,1235.9786,832.7359,748.9650,476.9953,1452.8059,315.9394,732.3811,281.0864,1604.9624,208.2214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,8.0000,666.5152,1600.6698,1984.7486,1481.1555,733.5036,1247.6608,1233.1942,912.0189,748.7338,552.5851,1453.0188,394.0439,731.8893,357.4218,1606.5796,288.3074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,7.0000,1978.6558,1563.4590,734.7979,1326.4286,1231.2014,992.7412,748.4941,629.6150,1452.8861,473.3482,731.5236,434.1688,1607.3916,369.1006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
