FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y
451.0000,12.0000,1846.6049,1392.5418,1299.3825,1155.8291,768.8816,1054.3051,668.9427,997.3473,392.5877,919.6600,451.1361,744.7718,461.4367,689.7358,829.1059,500.3568,998.7603,355.5987,768.3258,269.2819,1745.0370,252.2978,1539.6001,181.2682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
452.0000,14.0000,1845.8944,1470.7806,1298.3309,1232.8220,769.5205,1132.5471,669.7351,1075.3604,392.0198,996.9399,451.7916,824.0855,461.6195,767.9065,828.7834,578.5710,995.7685,428.5934,768.4399,347.2902,1746.5045,329.5821,1539.6863,259.0910,637.0274,120.5262,972.4854,105.0749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
453.0000,14.0000,1845.0140,1549.6927,1297.1989,1311.3634,769.7758,1211.5860,670.2381,1153.9891,391.7806,1076.0836,451.7870,904.0697,462.4206,847.3750,829.5661,658.2334,993.0838,503.2362,768.5315,427.1347,1747.5372,408.0716,1539.7499,338.6221,636.8089,197.3785,972.5620,184.3637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
454.0000,14.0000,1844.3194,1624.1534,1296.4925,1387.4208,769.9921,1289.5091,670.7572,1231.8722,391.4396,1153.4667,451.1021,982.7260,462.7639,925.1355,829.9262,736.4874,990.0967,576.4055,768.1913,506.1107,1748.0203,485.9064,1540.3114,417.1249,635.0817,273.6471,972.4887,261.9721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
455.0000,13.0000,1295.1300,1465.3700,770.4748,1368.6510,671.9768,1311.3299,391.3257,1233.0043,451.3418,1062.9650,463.4109,1003.7331,829.9695,816.4191,986.9090,651.4136,767.8961,586.5658,1748.9325,565.5773,1540.3251,496.9590,634.0649,351.2051,972.7784,341.1402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
456.0000,13.0000,1294.3067,1542.0062,771.4108,1447.0154,673.3123,1389.6726,391.4431,1310.3325,451.7206,1141.0529,464.0786,1081.4156,830.6796,894.7176,984.5529,724.7627,767.9833,666.3331,1749.3206,643.4562,1540.8349,575.8637,632.8505,427.8724,973.1324,420.2585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
457.0000,14.0000,1293.0252,1619.6451,772.3146,1526.4085,674.0857,1468.1602,391.5796,1389.9060,452.5095,1220.5901,465.1066,1160.1906,830.9638,974.3773,981.7046,800.0860,767.8796,747.2191,1749.7761,722.7811,1540.5762,655.5049,631.6173,506.0385,973.3920,499.3498,1173.4677,123.6330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
458.0000,14.0000,773.4067,1605.2081,674.6845,1545.6914,392.0545,1468.4804,452.5736,1299.1084,465.3922,1238.3910,831.2510,1053.3372,979.5441,873.9088,767.5709,826.8759,1749.9941,801.5874,1540.7346,734.8037,630.2782,583.6155,973.9575,578.3715,1170.7464,202.9430,1265.3650,85.3826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
459.0000,13.0000,676.8019,1624.0791,392.6070,1547.9438,453.6755,1378.9284,466.2311,1318.3272,831.5707,1134.0131,976.1874,949.8264,767.8153,908.2392,1750.4908,881.7627,1541.1046,815.6731,629.5925,661.7730,974.6891,658.8516,1168.2133,283.0206,1265.8866,164.6648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
460.0000,13.0000,396.4279,1618.0301,455.6862,1457.2687,467.0162,1397.2113,832.3220,1213.0662,973.0865,1024.5015,767.9375,988.2656,1751.5356,961.4423,1541.1798,895.2602,628.2490,739.5090,975.1668,738.5156,1166.1807,362.8995,1265.9381,243.2990,1559.0063,109.8564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
461.0000,12.0000,457.5498,1535.0245,467.4782,1476.5747,832.7984,1292.5333,970.5450,1099.8283,768.6263,1068.5799,1751.6169,1040.7641,1541.1058,975.6982,627.2819,817.2801,976.0638,818.0361,1164.2416,443.1957,1266.1731,322.8389,1556.4183,189.1477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
462.0000,12.0000,459.3428,1612.7756,468.7898,1556.3433,832.9679,1372.2660,967.9137,1175.0510,768.9843,1148.2946,1751.9125,1120.2738,1541.1647,1056.3226,626.4411,895.4525,976.3812,898.2475,1162.7156,523.6441,1266.0926,402.8713,1554.0436,269.3374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
463.0000,12.0000,470.8603,1634.1215,833.8941,1451.6447,965.6802,1249.7715,769.9316,1227.8663,1752.3074,1199.7146,1541.0858,1136.8731,625.6749,974.1962,976.7707,978.1477,1161.3139,603.6500,1266.7793,482.5332,1551.8990,348.7459,203.3186,93.9355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
464.0000,11.0000,834.1484,1529.9555,963.0080,1324.2612,770.1903,1306.5476,1752.5107,1278.4668,1540.6123,1216.6460,625.4875,1052.6638,976.4809,1057.7191,1159.9465,684.1825,1266.9665,562.4717,1549.6113,428.3693,201.9279,171.8411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
465.0000,13.0000,866.6904,1634.8655,804.2102,1581.6525,960.5576,1399.1232,770.7059,1385.1846,1753.1448,1357.8661,1540.6230,1297.0831,624.9527,1131.4534,977.1458,1137.2993,1158.4449,764.2721,1267.6348,642.8836,1547.4257,508.5538,201.1333,249.7286,1496.3127,131.3984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
466.0000,12.0000,806.8883,1663.6712,771.6354,1464.4819,958.0751,1473.4834,1753.3939,1436.4588,1540.5272,1377.6404,625.2322,1210.1309,977.3053,1216.9984,1156.7690,844.4259,1267.9995,723.4863,1545.0461,587.7772,199.2690,328.8075,1496.3525,211.0096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
467.0000,12.0000,772.4217,1542.4957,954.9822,1547.4765,1753.7274,1514.0472,1540.2629,1457.5305,625.5993,1288.1199,978.2075,1295.2771,1155.3967,923.7731,1268.7680,802.9907,1542.9673,666.6834,198.5195,406.5624,1496.3242,289.9798,859.8667,120.0463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
468.0000,12.0000,773.2674,1620.8968,952.7909,1620.3566,1754.2288,1591.9323,1539.0429,1536.8648,625.8201,1366.7321,978.4121,1373.9204,1154.1135,1002.7018,1269.3574,882.7614,1540.8275,745.6453,197.9873,484.1830,1495.9614,369.4631,861.3751,197.2670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
469.0000,10.0000,1538.1650,1615.7749,626.0483,1444.7759,978.9466,1451.6532,1152.8792,1081.8865,1269.9125,961.7035,1538.6809,824.1708,197.4971,561.8554,1495.4517,448.6105,862.1606,273.6694,1224.3557,68.4531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
470.0000,10.0000,626.8507,1523.4072,978.9072,1530.3616,1151.6077,1160.9519,1270.6488,1041.4126,1536.7313,903.5095,196.6354,639.9635,1494.7968,528.2336,863.3623,351.1554,1224.9436,147.8775,1999.6934,39.4309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
471.0000,9.0000,627.8452,1601.0672,1150.3268,1239.9081,1271.1983,1120.4989,1534.9035,981.8776,196.7026,716.9610,1494.0168,607.5431,864.7073,427.9779,1224.7474,226.0822,2000.3203,112.1154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
472.0000,8.0000,1149.1875,1319.5611,1271.9783,1200.4004,1532.7737,1061.5087,196.1404,796.1863,1493.0719,687.9835,866.1591,505.7167,1225.1141,305.9624,2000.7776,185.6103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
473.0000,8.0000,1148.1642,1397.4552,1272.4964,1278.9706,1530.9427,1139.7678,195.8830,873.8244,1491.9464,767.5463,867.4897,582.4318,1225.6311,384.2261,2000.9727,258.2721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
474.0000,8.0000,1147.2659,1475.7576,1272.8156,1359.1207,1528.7759,1219.6023,195.6524,952.2468,1490.5341,848.0647,868.5131,660.2477,1225.6315,463.6345,2001.2052,332.1901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
475.0000,8.0000,1146.2992,1553.3744,1273.8807,1437.7588,1526.6695,1296.9238,195.5387,1029.1057,1489.7103,927.6312,869.8939,736.8322,1225.6015,541.8469,2001.2090,405.0917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
476.0000,8.0000,1146.1201,1631.6992,1274.9529,1517.2275,1524.5248,1375.9111,195.1369,1107.2055,1487.7765,1007.6559,871.5080,814.3152,1225.9162,620.9296,2001.7894,478.9964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
477.0000,9.0000,1275.5159,1595.0728,1522.2652,1453.2758,194.6318,1184.7568,1486.6495,1087.5483,873.2711,890.6819,1247.8592,730.9483,1203.7192,665.7014,2001.7397,551.7381,714.4931,98.6971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
