FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
2641.0000,8.0000,624.2326,1585.2391,1175.8036,930.8613,1771.7669,881.5674,640.9170,723.1305,1458.2266,624.4888,1553.6079,589.1157,1808.8201,551.5110,1189.7168,145.6325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2642.0000,7.0000,1178.2535,1008.6230,1769.8173,958.0496,641.8471,799.9031,1460.6061,703.0226,1553.9824,669.2203,1805.5138,629.7494,1189.3892,224.9723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2643.0000,7.0000,1180.2526,1086.4393,1768.5058,1033.9495,642.5549,876.3264,1462.8681,781.1446,1554.3944,749.2205,1802.5452,707.2121,1188.7146,303.3931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2644.0000,8.0000,1182.3123,1164.1485,1766.0763,1110.4855,644.3354,953.6206,1465.3248,859.0937,1554.9164,829.6896,1799.3225,785.2102,1188.5768,418.4198,1188.1927,347.6823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2645.0000,8.0000,1184.6648,1242.4311,1764.6948,1187.2930,645.2650,1030.9806,1555.7259,910.7131,1467.8256,938.5381,1796.3280,864.7890,1188.3247,499.9172,1188.8800,426.6709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2646.0000,7.0000,1187.0711,1319.5705,1762.1911,1263.3072,646.3637,1107.2591,1513.2886,1003.9726,1793.6330,943.2579,1187.7510,579.5827,1189.9181,504.7721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2647.0000,7.0000,1189.6412,1398.0112,1759.8265,1339.3567,647.2840,1184.0014,1515.0221,1083.3684,1791.0525,1022.2969,1187.4354,660.3789,1190.7696,583.4407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2648.0000,7.0000,1192.4114,1474.7991,1757.3988,1415.2338,648.7210,1260.8252,1516.7769,1161.9662,1788.4937,1100.5998,1186.8127,740.1803,1191.6253,661.8847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2649.0000,7.0000,1195.2074,1553.1041,1754.9624,1492.0039,649.7837,1338.4733,1517.4690,1241.3294,1785.8010,1180.2523,1186.8077,821.1721,1192.6181,741.6185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2650.0000,8.0000,1198.4162,1631.3182,1753.1627,1568.0107,651.5395,1415.1547,1518.9089,1319.3970,1782.9048,1258.6703,1187.0954,900.8672,1193.3899,820.3346,1568.9736,68.1649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2651.0000,9.0000,1750.5246,1643.0622,653.2529,1491.5043,1519.1323,1398.6312,1780.3215,1337.1132,1186.9199,981.2015,1194.1207,899.5755,1571.5229,143.6861,281.3161,112.9378,540.5486,56.4358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2652.0000,8.0000,654.2576,1566.0108,1519.9947,1476.0073,1777.2474,1415.7256,1186.5561,1060.9758,1194.3196,978.1252,1573.1652,218.1612,277.2492,193.8719,538.3557,130.9647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2653.0000,8.0000,655.9046,1642.1377,1519.6285,1555.1942,1774.3876,1495.2762,1186.1513,1141.8318,1194.8497,1058.5451,1574.4947,293.8209,273.3687,276.0720,535.6715,206.2762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
