Expert names,KF_CV_sw18E2,KF_CV_sw18,KF_CV_sw18E-2,KF_CA_sw18E5,KF_CA_sw18E3,KF_CA_sw18E1,ME weighting
KF_CV_sw18E2,0.9999999999999999,0.9282021046456757,0.5697084559701354,0.9494320901121865,0.8088475168453393,0.5951368026539668,0.8801094377141911
KF_CV_sw18,0.9282021046456757,1.0,0.7192933227630379,0.8763377983388634,0.9203226121572836,0.7228379293881558,0.9822096184268821
KF_CV_sw18E-2,0.5697084559701354,0.7192933227630379,1.0,0.4061524527262523,0.5479152283581429,0.7179925120387729,0.6920741226826566
KF_CA_sw18E5,0.9494320901121865,0.8763377983388634,0.4061524527262523,1.0,0.7579340033852114,0.48380309844465985,0.8174613810852206
KF_CA_sw18E3,0.8088475168453393,0.9203226121572836,0.5479152283581429,0.7579340033852114,1.0,0.7208253293838944,0.965814745544361
KF_CA_sw18E1,0.5951368026539668,0.7228379293881558,0.7179925120387729,0.48380309844465985,0.7208253293838944,1.0,0.7513849582455201
ME weighting,0.8801094377141911,0.9822096184268821,0.6920741226826566,0.8174613810852206,0.965814745544361,0.7513849582455201,1.0
