Expert names,LSTM_1024_16,LSTM_16_16,MLP_16_16_16,KF_CV_sw18,KF_CA_sw18E3,Simple Ensemble
LSTM_1024_16,0.22743741765480896,0.21195652173913043,0.002572898799313894,0.05747694334650856,0.05747694334650856,0.1772068511198946
LSTM_16_16,0.21195652173913043,0.2891139657444005,0.008576329331046312,0.053936100131752304,0.053936100131752304,0.17333662714097497
MLP_16_16_16,0.002572898799313894,0.008576329331046312,0.1310034305317324,0.0002144082332761578,0.0001072041166380789,0.0006432246998284735
KF_CV_sw18,0.05747694334650856,0.053936100131752304,0.0002144082332761578,0.05821805006587615,0.05813570487483531,0.057971014492753624
KF_CA_sw18E3,0.05747694334650856,0.053936100131752304,0.0001072041166380789,0.05813570487483531,0.05813570487483531,0.057971014492753624
Simple Ensemble,0.1772068511198946,0.17333662714097497,0.0006432246998284735,0.057971014492753624,0.057971014492753624,0.1777832674571805
