Expert names,LSTM_1024_16,LSTM_16_16,MLP_16_16_16,KF_CV_sw18,KF_CA_sw18E3,Simple Ensemble
LSTM_1024_16,0.22239946268155486,0.15271597682814206,0.11497775165813114,0.1354210393753673,0.12173621022584166,0.18243640332465788
LSTM_16_16,0.15271597682814206,0.2065317773486693,0.10540676685416842,0.10385358072370078,0.0896650155318613,0.1452019141969608
MLP_16_16_16,0.11497775165813114,0.10540676685416842,0.2421711023423726,0.08651666526739989,0.08987490554949207,0.1305096129628075
KF_CV_sw18,0.1354210393753673,0.10385358072370078,0.08651666526739989,0.22172781462513644,0.1505750986483083,0.15183443875409286
KF_CA_sw18E3,0.12173621022584166,0.0896650155318613,0.08987490554949207,0.1505750986483083,0.2205944085299303,0.14385861808412392
Simple Ensemble,0.18243640332465788,0.1452019141969608,0.1305096129628075,0.15183443875409286,0.14385861808412392,0.22987154730920997
