nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,5.480255295242677072e+00,nan,nan,nan,nan,2.874290677413693929e-01,4.281060313879327395e-01,nan,nan,nan,nan,nan,nan,nan
nan,2.890793870804346799e+00,1.423919326996675228e+00,1.574414115971835892e+00,5.243661251211395591e-01,4.107625792493685424e-01,4.161307158022940489e-01,4.918836299022441017e-01,3.399680043251719352e-01,3.960290511720790940e-01,3.584892093609490793e-01,nan,nan,nan,nan
1.623946159487839713e+00,1.996823680996137051e+00,9.480445393264751441e-01,7.513501394501295172e-01,6.331190501816935656e-01,3.676359704707850562e-01,3.160960579400425852e-01,3.341809829165163781e-01,3.135370551944752782e-01,3.300882695522094901e-01,4.157573634837283816e-01,nan,nan,nan,nan
nan,2.438057001170970128e+00,1.101978247537849009e+00,7.765146548824705119e-01,5.306960045752878719e-01,3.962058092492758976e-01,3.520629187818886674e-01,2.902574169449402275e-01,2.961145497050420294e-01,3.023404908159563198e-01,3.145555047560240625e-01,nan,nan,nan,nan
3.144469306979086554e+00,2.460004666541916851e+00,1.143318909180561338e+00,9.042178049688729402e-01,5.958130554139882129e-01,4.485466315220129063e-01,3.457678005794266873e-01,2.814881883456230027e-01,3.110629142388238733e-01,3.218296213105624748e-01,3.846109015881549742e-01,nan,nan,nan,nan
3.135006025422470977e+00,2.357499455081370598e+00,1.183878666004700042e+00,8.898201076681303556e-01,5.901982176292323024e-01,4.307496451697350737e-01,3.419616514153120956e-01,3.005334734943835295e-01,2.889857262922922443e-01,3.547257641578923648e-01,3.488708687117887397e-01,nan,nan,nan,nan
2.949913855621915992e+00,2.237400331064335113e+00,1.070418509983465993e+00,8.046318584326334067e-01,5.848217293259464489e-01,4.169682032339581124e-01,3.375890986763560031e-01,2.923567414281187937e-01,3.275051424049516546e-01,3.633537051738005008e-01,3.704669093454586726e-01,nan,nan,nan,nan
2.843529603319292942e+00,2.140126010761212338e+00,1.065383644941363173e+00,8.047090572428443611e-01,5.593596926592605545e-01,4.548230121741773102e-01,3.130760142694896664e-01,3.038331956598860351e-01,3.167762968698559223e-01,3.493898725595449561e-01,3.494844736486044656e-01,nan,nan,nan,nan
3.285383602461160457e+00,2.403626025925668319e+00,9.997229581159814416e-01,6.952463044368014655e-01,4.842745956635077231e-01,3.862481614055842671e-01,3.485371969014217086e-01,3.117346411014922936e-01,3.770682669431595913e-01,3.753778720370553601e-01,3.990603735042084210e-01,nan,nan,nan,nan
3.678457696711602942e+00,2.580411084002102395e+00,1.063332429061540907e+00,8.378790837799025004e-01,5.780841973881059026e-01,4.092635185509687634e-01,3.307596096070606895e-01,3.131702089806495670e-01,3.251276377266352213e-01,3.588155400499201120e-01,3.373741796457839781e-01,nan,nan,nan,nan
3.902576409767341215e+00,2.588328412219886410e+00,1.103395936704471891e+00,8.852750064008183539e-01,5.360529306344378186e-01,4.364484786747255263e-01,3.702017631749812132e-01,3.268813698869972306e-01,3.306692386797152605e-01,3.844760317736419242e-01,3.659658969565752762e-01,nan,nan,nan,nan
3.300648076167853162e+00,2.223008155483618964e+00,1.100875091866755806e+00,7.270056464551931663e-01,5.344636667726655466e-01,4.414125965681967023e-01,4.403223314513813880e-01,3.016343553359087659e-01,3.779019583000251536e-01,3.660408875161721420e-01,4.071723625775189315e-01,nan,nan,nan,nan
2.965716290848318781e+00,2.300391425974429804e+00,1.395352495597973030e+00,9.341836520752492268e-01,6.480300707008768146e-01,4.828643703430326450e-01,4.262145983137405336e-01,3.689527726326494728e-01,3.731514972902817417e-01,4.010734359425540685e-01,4.527027430740654390e-01,nan,nan,nan,nan
2.388337403959300609e+00,1.811215012741886232e+00,9.220983478114538334e-01,7.527397833408829841e-01,6.444529113467495351e-01,4.816523817870956292e-01,4.356938185559414145e-01,3.805045036445182105e-01,3.413360829282817699e-01,3.343701686294227038e-01,3.777513743022721804e-01,nan,nan,nan,nan
nan,4.194187811786142639e+00,1.416505217636410130e+00,7.931826212161615652e-01,6.922891399317480099e-01,4.841870236537342831e-01,4.713673535524569025e-01,4.432338633363414049e-01,4.865689911684804581e-01,3.115291981916827879e-01,2.965312034711704570e-01,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
