nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,3.446098178448745442e-01,2.119893879748774024e-01,nan,nan,nan,nan,nan,nan,nan
nan,4.428191724028884280e-01,3.104540184862232821e-01,3.016645258314122335e-01,3.077942607989046508e-01,2.671503026595140051e-01,2.937304102254362226e-01,3.449034404056096070e-01,3.946654025507805863e-01,4.291999988624733420e-01,4.253825870543228027e-01,nan,nan,nan,nan
9.232157624999995704e+00,5.330259538797561536e-01,3.303137112593940161e-01,4.094764808531492495e-01,3.834302676245621155e-01,3.813414887860691049e-01,3.363406966730748682e-01,3.913695091950134541e-01,3.408336397411714791e-01,3.082838609293148679e-01,4.041129135092482172e-01,nan,nan,nan,nan
9.114657624999985330e+00,7.973063712900501088e-01,3.867895479903709632e-01,3.386137776190659143e-01,2.993040378790746692e-01,3.347661149931840385e-01,3.827189197463267689e-01,2.678507599256378380e-01,3.303944442780645252e-01,3.321358291195483092e-01,4.359567196166135861e-01,nan,nan,nan,nan
8.899832625000009045e+00,6.013319667245095035e-01,3.369783110707098017e-01,3.104193695995255964e-01,3.456051700483293021e-01,2.837213047883067052e-01,2.988060065121703190e-01,3.616053460335061920e-01,3.214512798769746937e-01,3.374570440804646188e-01,3.755458983953396945e-01,nan,nan,nan,nan
9.663657625000000806e+00,7.361458998313130664e-01,3.310181018330505820e-01,3.213091589488583089e-01,3.247394228506800817e-01,3.009195039648286385e-01,3.387111031373683523e-01,3.030426506342445703e-01,3.219542568774076408e-01,3.374596529455216598e-01,3.383321053775596443e-01,nan,nan,nan,nan
9.675807624999968937e+00,6.292082116202720732e-01,3.128823670089491138e-01,2.857883141989650544e-01,3.327231537563861141e-01,2.920203938720607462e-01,3.447066865612024578e-01,3.269360809452560579e-01,3.385854272277179500e-01,3.936603285541417363e-01,3.795463254144514353e-01,nan,nan,nan,nan
9.442757625000119504e+00,7.312467593736080573e-01,3.340933584615895513e-01,3.285523916657742127e-01,3.189938675779927513e-01,3.385946984919566138e-01,3.430347662935678832e-01,2.902714924476240133e-01,3.501317040925702173e-01,3.418420496237561390e-01,3.359897425740737686e-01,nan,nan,nan,nan
9.560307624999953902e+00,6.192604870548175100e-01,3.201815788841332888e-01,3.583333886041847882e-01,3.212777953161375377e-01,3.355557225672178290e-01,3.585780811937087087e-01,3.396013105507531549e-01,3.981152930992336580e-01,3.576879365968956836e-01,3.817035985535215392e-01,nan,nan,nan,nan
9.513482625000001747e+00,6.093237432111703322e-01,2.990360746406599546e-01,3.428651432792870213e-01,3.580030642089600534e-01,3.495644014366263708e-01,3.313844618266243991e-01,3.114161346121143148e-01,3.247600123562852659e-01,3.098762718162080265e-01,3.273976730350842690e-01,nan,nan,nan,nan
9.262357624999953742e+00,7.443839357848313076e-01,3.490075826539819071e-01,3.625811673220948883e-01,3.434700743268940260e-01,3.695044621700028786e-01,3.823727961607321091e-01,3.490770510297149243e-01,3.584799784746592888e-01,3.435622901924041961e-01,4.536476612755314664e-01,nan,nan,nan,nan
9.751907625000020730e+00,6.496635281718834420e-01,3.476330956752821666e-01,4.047162139853761054e-01,3.446189973262629991e-01,3.601982761927342014e-01,3.957182672046123395e-01,3.418662296485145413e-01,3.689925770028457119e-01,3.727820291751510751e-01,3.266079914769932091e-01,nan,nan,nan,nan
9.678057625000015207e+00,7.690936584013169375e-01,3.648273194612601245e-01,3.460950343940996099e-01,3.539977944983212499e-01,3.762896562453268423e-01,3.749277534976106496e-01,3.518984440101832756e-01,3.886151182006472582e-01,4.201715769986289484e-01,4.644613269001102718e-01,nan,nan,nan,nan
9.179207624999941473e+00,7.049224922944178351e-01,3.537836859487216157e-01,3.106652825687228892e-01,3.032516827324050479e-01,2.451671519861801651e-01,2.762030397964625461e-01,3.229432714619844269e-01,2.938448855202087651e-01,3.754065051802836228e-01,4.762014713561151247e-01,nan,nan,nan,nan
nan,5.396314669692841015e-01,3.438498771283771127e-01,4.073234294568630620e-01,3.214170831604684087e-01,3.484174531624208426e-01,4.592110296876406594e-01,2.481530599038904994e-01,4.261620640630039980e-01,2.633897930257270148e-01,5.177018876233092648e-01,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
